IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0032910,7.5,1.0,"Animation, Comedy, Family",1940,Pinocchio (1940)
tt0032455,7.8,2.0,"Animation, Family, Fantasy",1940,Fantasia (1940)
tt0032273,7.1,3.0,"Adventure, Drama, Romance",1940,Boom Town (1940)
tt0032484,7.6,4.0,"Action, Romance, Thriller",1940,Foreign Correspondent (1940)
tt0033124,6.9,5.0,Adventure,1940,Swiss Family Robinson (1940)
tt0033117,5.7,6.0,"Drama, Comedy",1940,Susan and God (1940)
tt0032384,6.8,7.0,Drama,1940,De Mayerling à Sarajevo (1940)
tt0032976,8.2,8.0,"Drama, Mystery, Romance",1940,Rebecca (1940)
tt0032553,8.5,9.0,"Comedy, Drama, War",1940,The Great Dictator (1940)
tt0032904,8.0,10.0,"Comedy, Romance",1940,The Philadelphia Story (1940)
tt0032551,8.1,11.0,"Drama, History",1940,The Grapes of Wrath (1940)
tt0032599,8.0,12.0,"Comedy, Drama, Romance",1940,His Girl Friday (1940)
tt0033152,7.6,13.0,"Adventure, Family, Fantasy",1940,The Thief of Bagdad (1940)
tt0032814,7.5,14.0,"Animation, Short, Comedy",1940,Mr. Duck Steps Out (1940)
tt0033238,7.8,15.0,"Drama, Romance, War",1940,Waterloo Bridge (1940)
tt0032762,7.6,16.0,"Action, Adventure, Romance",1940,The Mark of Zorro (1940)
tt0032943,7.4,17.0,"Drama, Romance",1940,Pride and Prejudice (1940)
tt0033045,8.1,18.0,"Comedy, Drama, Romance",1940,The Shop Around the Corner (1940)
tt0033105,6.9,19.0,"Adventure, Drama, Romance",1940,Strange Cargo (1940)
tt0033028,7.8,20.0,"Action, Adventure, History",1940,The Sea Hawk (1940)
tt0033107,6.9,21.0,"Crime, Drama, Film-Noir",1940,Stranger on the Third Floor (1940)
tt0032701,7.7,22.0,"Crime, Drama, Film-Noir",1940,The Letter (1940)
tt0031359,7.4,23.0,Thriller,1940,Gaslight (1940)
tt0033253,7.5,24.0,"Drama, Romance, Western",1940,The Westerner (1940)
tt0032881,6.8,25.0,"Drama, Romance",1940,Our Town (1940)
tt0032871,5.8,26.0,"Adventure, Fantasy, Romance",1940,One Million B.C. (1940)
tt0029284,7.4,27.0,"Comedy, Romance",1940,My Favorite Wife (1940)
tt0032671,7.0,28.0,"Drama, Romance",1940,Kitty Foyle (1940)
tt0032670,6.3,29.0,"Biography, Romance, Western",1940,Kit Carson (1940)
tt0033021,6.3,30.0,"Adventure, Biography, Drama",1940,Santa Fe Trail (1940)
tt0033149,7.3,31.0,"Crime, Drama, Film-Noir",1940,They Drive by Night (1940)
tt0156524,5.3,32.0,"Documentary, History",1940,Der ewige Jude (1940)
tt0032194,7.6,33.0,"Drama, Romance",1940,"All This, and Heaven Too (1940)"
tt0032842,7.3,34.0,"Thriller, War",1940,Night Train to Munich (1940)
tt0032728,7.1,35.0,"Drama, War",1940,The Long Voyage Home (1940)
tt0032811,7.9,36.0,Drama,1940,The Mortal Storm (1940)
tt0032635,6.5,37.0,"Drama, Horror, Mystery",1940,The Invisible Man Returns (1940)
tt0032520,7.3,38.0,"Comedy, Horror, Mystery",1940,The Ghost Breakers (1940)
tt0032467,6.8,39.0,"Action, Adventure, Biography",1940,The Fighting 69th (1940)
tt0032850,6.7,40.0,"Action, Adventure, Drama",1940,North West Mounted Police (1940)
