IMDbId,keywords
tt0051383,guardian|aunt-nephew-relationship|mountain-climbing|experimental-school|eccentric|based-on-play|character-name-in-title|nephew|socialite|expectant-mother|heavily-pregnant-mother|mother-son-relationship|husband-wife-relationship|horse-riding|family-relationships|southerner|secretary|pregnancy|nonconformity|dysfunctional-family|paris-france|masturbation-reference|new-york-city|bohemian|christmas|matterhorn|eiffel-tower-paris|memoir|based-on-novel|boy|orphan|bulge|unwed-pregnancy|unwed-mother|child|elopement|writer|wealth|switchboard-operator|stairway|salesclerk|mother-daughter-relationship|hangover|friend|father-daughter-relationship|drunkenness|drink|drinking|cigarette-holder|christmas-present|macy's-department-store|reference-to-the-marx-brothers|reference-to-karl-marx|last-will-and-testament|travel|servant|school|publishing|play|plantation-owner|maturation|love-triangle|liquor|irish|interior-decorator|honeymoon|fox-hunt|falling-from-height|class-differences|bigotry|friendship-between-women|side-saddle|party|friendship|free-spirit|fortune|georgia|cocktail-party|restricted-neighborhood|alcohol|backstage|fox|1930s|telephone-operator|monkey|alps|graduation|fox-hunting|actress|hunting|anti-semitism|department-store|makeover|oil-baron|staircase|poet|college|bracelet|boarding-school|1940s|remodeling|broken-engagement|marriage-proposal|connecticut|1920s|plantation|stock-market-crash|egypt|embarrassment|snob
tt0051459,refusing-to-have-sex|homosexuality|football|cancer|ex-football-player|lawyer|mississippi|crutches|athlete|marriage|doctor|alcoholic|birthday|last-will-and-testament|gay-subtext|woman-takes-off-stocking|piano-playing|father-and-son-talk|overbearing-father|family-gathering|terminal-cancer|domineering-father|food-thrown-into-someone's-face|eating-ice-cream-with-fingers|leg-in-a-cast|plaster-cast|cigar|hypodermic-needle|whiskey|dressing-gown|drunk-driving|loss-of-friend|argument|cellar|thunderstorm|terminal-illness|grandfather|drinking-problem|little-girl|little-boy|birthday-cake|southern-u.s.|tycoon|private-plane|athletic-field|document|broken-ankle|one-day|hat|thirty-something|man-crying|pretending-to-be-pregnant|faked-pregnancy|announcement-of-pregnancy|unhappy-marriage|marriage-problems|female-stockinged-legs|nylon-stockings|removing-nylon-stocking|stockings|ice-cream|cap-gun|toy-gun|corporate-lawyer|nickname|sexual-frustration|conception|bare-chested-male|trying-to-get-pregnant|wanting-a-baby|memphis-tennessee|lingerie-slip|seduction|lie|controversy|uncle-niece-relationship|uncle-nephew-relationship|mother-son-relationship|mother-in-law-daughter-in-law-relationship|father-in-law-daughter-in-law-relationship|family-relationships|brother-brother-relationship|aunt-niece-relationship|aunt-nephew-relationship|pregnant-sister-in-law|marital-reconciliation|wealth|rainstorm|party|loyalty|hero-worship|friendship|drunkenness|drug|disease|depression|children|pregnancy-issue|reconciliation|southern-gothic|southern-belle|sports-announcer|morphine|football-team|football-player|convertible|reflection|obsession|greed|family-secret|dysfunctional-marriage|alcoholism|dysfunctional-family|suitcase|storm|singing|pregnancy|mansion|maid|love-hate|jealousy|inheritance|husband-wife-relationship|hurdles|grandchild|destruction|crutch|change|cake|birthday-party|gay-interest|homosexual-subtext|patriarch|father-son-relationship|basement|american-football|airport|homosexual-jock|based-on-play
tt0052182,sexual-tension|sexual-desire|retired-teacher|old-maid|reference-to-mickey-spillane|loneliness|ex-husband-ex-wife-relationship|class-differences|sexual-repression|ostracism|mother-daughter-relationship|domineering-mother
tt0050381,greece|feats-of-strength|bare-chested-male|roman-mythology|mixed-martial-arts|sword-and-fantasy|based-on-greek-myth|mythology|sword-and-sandal|ancient-greece|greek-mythology|sword-and-sorcery
tt0052357,romantic-obsession|vertigo|mental-breakdown|acrophobia|san-francisco-bay|police-detective|haunted-by-the-past|cemetery|plot-twist|betrayal|redwood-forest|dolly-zoom|golden-gate-bridge|murder|falling-from-height|obsession|makeover|adultery|damsel-in-distress|rooftop-chase|graveyard|rescue-from-drowning|san-francisco-california|famous-score|based-on-novel|husband-wife-relationship|vertigo-shot|alfred-hitchcock-figure-character|afi|ambiguous-ending|mission|man-fainting|memory|manipulation|businessman|wandering|spanish-mission|shipping-company|new-dress|new-clothes|jewelry|husband-murders-wife|gravestone|fainting|fainting-man|driving-a-car|apartment|apartment-building|policeman|following-someone|dizziness|being-followed|being-followed-in-car|alcoholic-drink|ends-with-death|tree-trunk|surrealism|orchestral-music-score|imagery|technicolor|california|stairwell|stable|psychiatric-hospital|flower-shop|mistaken-identity|necklace|phobia|hair-salon|dream-sequence|spiral|painting|hotel|loss-of-wife|inquest|rooftop|surveillance|impostor|museum|accidental-death|eye|nun|fetish|meta-film|death-obsession|title-spoken-by-character|police|rescue|shipbuilder|cult-film|flower-in-water|conversation-in-car|church-bell|retirement|skepticism|riding-in-car|cul-de-sac|alley|voice-over-narration|shipyard|flower|restaurant
tt0051622,fly|teleportation|scientist|inspector|boy|atom|police-inspector|crushed-to-death|cat|screaming|redheaded-woman|spiderweb|siren-the-alarm|computer|first-part|creature-feature|lifting-a-female-into-the-air|anger|genetic-abnormality|freak|research|pet-cat|maid|hysteria|physician|corpse|factory|murder|blood|punch-press|croquet|ambulance|montreal-quebec-canada|police-car|destruction|repulsion|garden|despair|revulsion|anxiety|shock|butterfly-net|brother-brother-relationship|lifting-an-adult-into-the-air|ham-radio|table|20th-century|child|pleading|remade|lifting-someone-into-the-air|horror-movie-remade|animal-in-title|widow|uncle-nephew-relationship|scar|playing-god|loss-of-pet|loss-of-husband|fire|father-son-relationship|death-of-title-character|flashback|screaming-in-fear|loss-of-father|loss-of-brother|guinea-pig|ballet|based-on-short-story|french-canadian|crushed-head|tragedy|chalkboard|basement-laboratory|told-in-flashback|laboratory-accident|husband-wife-relationship|giant-insect|disembodied-voice|typewriter|sugar|nurse|milk|flyswatter|fainting|blackboard|axe|marriage|meal|experiment|monster|bottle|suspected-murder|mutation|arrest-warrant|police-officer|wedding-gift|chess|laboratory|hydraulic-press|botched-teleportation|insect|science|spider|assisted-suicide|plate|title-spoken-by-character
tt0052311,investigation|honeymoon|murder|los-robles|fortune-teller|drug-dealer|car-bomb|police-corruption|police-procedural|vice-squad|uncle-nephew-relationship|time-bomb|tarot-card|strip-club|street-life|secret-marriage|prostitution|police-chief|planted-evidence|oil-well|oil-field|narcotics-investigation|marijuana|lesbian-subtext|husband-wife-relationship|gang-rape|forced-drug-use|father-son-relationship|father-daughter-relationship|drug-deal|construction-crew|border-crossing|long-take|police-detective|betrayal|femme-fatale|national-film-registry|homoerotic-subtext|corrupt-cop|brother-brother-relationship|bomb-in-trunk-of-car|barroom-brawl|wrongful-arrest|heroin|district-attorney|blackmail|u.s.-mexico-border|psycho-cop|cover-up
tt0051380,cult-film|b-movie|alien|revenge|woman|giant|1950s|chrysler-imperial|nurse|upskirt|stockings|cigarette-smoking|kidnapping|husband-wife-relationship|giant-woman|giant-footprint|sexy-dance|romantic-triangle|prospector|philanderer|mental-patient|jitterbug|deputy-sheriff|crushed-to-death|butler|unfaithful-husband|rampage|monster|extramarital-affair|satellite|radiation-induced-growth|psychotronic|number-in-title
tt0051378,french-noir|black-and-white-film|war-veteran|france|murder-investigation|couple|stuck-in-lift|attempted-suicide|internal-monologue|youth|child|criminal|looking-through-a-keyhole|photo|rope|murder|german|alibi|thief|revolver|mistress|mercedes|drink|captain|businessman|arms-dealer|telephone-operator|motel|elevator|expectation-versus-reality|neo-noir|euro-noir|bare-chested-male|nouvelle-vague|french-new-wave|irony-of-fate|newspaper-headline|sleepless-night|murder-disguised-as-suicide|offscreen-killing|jazz-score|passionate-love|love-triangle|title-same-as-book|character-says-i-love-you|jazz-music|weekend|mercedes-300-sl|mercedes-coupe|voice-over-inner-thoughts|unfaithfulness|thunder|theft|telephone-call|talking-to-self|suspense|suicide-attempt|stealing|stealing-a-car|sidewalk-cafe|shooting|security-guard|scaling-side-of-building|salesgirl|refrigerator-business|reference-to-rommel|reference-to-goethe|recording|record-player|reckless-driving|rear-ending-a-car|rain|raincoat|prostitute|police|policeman|police-station|police-siren|police-investigation|pocket-knife|pinball-machine|pills|photograph|photographer|phone-booth|pay-phone|passion|parking-ticket|oil|oil-pipeline|oil-business|north-africa|night-watchman|newspaper|murder-of-husband|motorcycle|motor-scooter|motel-desk-clerk|mistaken-identity|miniature-camera|locked-inside-apartment|locked-gate|leather-jacket|knife|kiss|key|journalist|investigation|interrogation|interior-monologue|infidelity|illegally-parked-car|husband-wife-relationship|gun|grappling-hook|gloves|girl|geneva-switzerland|gate|gardenal|garage|friend|friendship|french-indochina-war|french-foreign-legion|following-someone|florist|flash-camera|extramarital-affair|ex-paratrooper|drinking|dressing|door-key|death|death-of-husband|croissant|confession|coincidence|coffee|climbing|cigarette-smoking|cigarette-lighter|cigar-smoking|chess|champagne|car-theft|car-chase|camera|black-cat|bar|bartender|algiers-algeria|algeria|paris-france|war-hero|pencil-sharpener|flower-shop|famous-score|double-suicide|developing-a-photograph|trapped-in-an-elevator|sleeping-pill|feature-film-directorial-debut|carjacking|1950s|adultery|love|elevator-shaft|based-on-novel
tt0051792,landlord|storm|one-word-title|spider|flashback|stubbornness|music-lover|upstart|told-in-flashback|opulence|money-lender|modernization|master-servant-relationship|luxury|horse|hookah|generator|falling-off-horse|elephant|drowning|domestic-servant|dancing|class-conflict|chandelier|aristocrat|aristocracy|based-on-novel
tt0050669,killer|serial-killer|investigation|trap|murderer|butcher|defying-authority|neglected-wife|misogyny|violence-against-women|man-child|wet-clothes|pouring-rain|mother-issues|cleaning-lady|cleaning-woman|charwoman|man-in-bed|screaming-woman|tuxedo|suit|lost-button|anonymous-letter|letter|typing|armchair|secret|hotel-room|packing|receptionist|hotel-receptionist|hotel-reception|hotel|maid|housemaid|breaking-in|break-in|movie-theater|loss-of-virginity|sexual-frustration|unfaithful-wife|losing-virginity|watching-tv|dancer|former-dancer|brooch|jewel|prostitution|prostitute|male-prostitute|virgin|bare-chested-male|reading-a-newspaper|toy|closeted-homosexual|portrait-painting|portrait|painting|closeted-gay|crying-male|crying-man|crying|hysterical-man|hysterical-outburst|outburst|gay|evidence|framed-photograph|framed-picture|photograph|visit|being-followed|following-someone|restaurant|night-club|dance-club|dance-scene|phone-booth|murder-mystery|camera-shot-of-bare-feet|barefoot-male|housekeeper|police-raid|running-from-the-police|death-by-stabbing|on-the-run|concierge|murder-by-stabbing|chase|assault|violinist|artist|secretly-observing|listening-to-music|telephone-call|policeman|whistle|journalist|police-investigation|police-investigator|newspaper|investigator|suitcase|detective|map|taking-off-shoes|setting-a-trap|serial-murder|husband-wife-relationship|torn-clothes|part-of-series|murder|male-name-in-title|claim-in-title|name-in-title|stabbing|knife|domineering-mother|mother-son-relationship|copycat-killer|butcher-shop|gigolo|unhappy-marriage|adultery|infidelity|pipe-smoker|inspector-maigret|interrogation|jules-maigret|foot-chase|female-victim|heat-wave|summer|police-station|based-on-a-novel|entrapment|french-police|decoy|black-and-white|murder-investigation|french-noir|virgin-wife|used-as-bait|typewriter|tv-news|suspect-tailing|street-prostitution|stabbed-to-death|stabbed-in-the-chest|sneeze|reconstruction|quai-des-orfevres|police-superintendent|police-interrogation|police-headquarters|police-detective|pipe|pipe-smoking|paris-france|painter|newspaper-reporter|media-manipulation|media-coverage|map-on-screen|locked-door|key|jealousy|jealous-husband|interrogation-techniques|impotence|household|female-serial-killer|female-reporter|female-police-officer|failed-artist|costume|cheating-wife|carving-knife|button|butcher-knife|burglary|bait|backdoor|adulterous-wife|1950s|le-marais|police|based-on-novel|character-name-in-title
tt0051994,profanity|titanic|lifeboat|iceberg|steerage|north-atlantic|first-class|ice|weather|new-york-city|steamship|ocean-liner|sea|disaster|disaster-movie|disaster-film|sinking-ship|boiler|shipwreck|church|liverpool|wireless-telegraphy|smokestack|signal-rockets|scrap|sacrifice|pig|orchestra|misconception|lost|lookout|life-jacket|gash|freezing|drowning|bravery|sos|cqd|1910s|based-on-book
tt0051308,arizona-territory|yuma-territorial-prison|mexico|outlaw-gang|street-shootout|mexican|ghost-town|town|escape|bandits|bandit|bandolero|buxom|tucson-arizona|tucson|arizona|territorial-prison|yuma-prison|prison|yuma-arizona|escapee|escaped-prisoner|escaped|prisoner|new-mexico-territorial-prison|penitentiary|prison-break|prison-wagon|wagon|escape-attempt|new-mexico-territory|new-mexico|winchester-rifle|widower|rifle|single-father|cowboy-hat|cowboy-boots|cowboy|two-word-title|repeating-rifle|family-relationships|u.s.-marshal|rifleman|recovering-alcoholic|outlaw|horse-riding|farm|civil-war-veteran|cattle-raiser|1880s|father-son-relationship
