IMDbId,keywords
tt0043949,christian|emperor-nero|hostage|nero|general|emperor|despot|adopted-daughter|faith|redheaded-woman|veteran|chessboard|famous-score|crucified-upside-down|persecution-of-christians|historical-fiction|torture|fanfare|throne|strangled-to-death|imperial-guard|bleeding-to-death|reference-to-minotaur|assisted-suicide|tyrant|roman-guard|scribe|rear-projection|slit-wrist|dictation|reference-to-galba|ocelot|last-supper|reference-to-mary-magdalene|demonization|diorama|thrown-down-stairs|broken-neck|decadence|reference-to-homer|bust|reference-to-lazarus|polish-woman|flashback|reference-to-virgil|vestal-virgin|reference-to-ovid|chariot|year-64|voice-over-narration|saint-paul|st.-peter|historical-event|ancient-times|miracle|shield|armor|steel-helmet|combat|religious-sword-and-sandal|sword-and-sandal|sword-fight|sword|roman-salute|bare-chested-male|man-in-bathtub|evil-king|decadence-of-the-roman-empire|scene-based-on-painting|religious-sect|religious-conversion|reference-to-famous-painting|reference-to-god|god-speaking|god-king|emancipation|early-christians|dying-with-dignity|depiction-of-god|death-of-king|christianity|based-on-biblical-story|architect|antiquity|1st-century|morality|song|singer|henchman|animal-attack|prison|princess-heroine|persecution|pacifism|horse-and-carriage|gladiator|religion|epic|power|suicide|strangulation|stabbed-to-death|soldier|slave|slavery|singing|sewer|satire|sardonic|sarcasm|roman-empire|religious-differences|religious-cult|religious-conviction|religious-conflict|political-satire|political-repression|mob-violence|martyr|martyrdom|love-versus-lust|love-between-castes|love-at-first-sight|lion|reference-to-jesus-christ|irony|genocide|fire|empress|death-of-loved-one|crucifix|crucifixion|courage|class-distinction|burning-cross|burned-at-the-stake|burned-alive|bull|bullfight|arson|arena|apostle|ancient-rome|based-on-novel|title-spoken-by-character|surprise-ending
tt0044081,off-screen-rape|histrionic-personality-disorder|brother-in-law-sister-in-law-relationship|expectant-father|middle-aged-woman|light-bulb|polish-american|mental-illness|secret-past|new-orleans-louisiana|sister-sister-relationship|nervous-breakdown|rape|pulitzer-prize-source|based-on-play|title-spoken-by-character|male-objectification|obscene-hand-gesture|masturbation-reference|tank-top|man-wearing-a-tank-top|opening-champagne|drinking-champagne|champagne|national-film-registry|afi|pregnant-sister|love|louisiana|streetcar|neurotic|reference-to-huey-long|sibling-rivalry|sex|baby-born|expectant-mother|homosexuality|mental-instability|husband-wife-relationship|drunkenness|pregnant-wife|new-baby|giving-birth|childbirth|youthfulness|vulnerability|sexual-repression|aging|tragedy|restaurant|machine-shop|bill-collector|adultery|snob|insanity|deception|jazz-score|famous-score|working-class|inheritance|dysfunctional-marriage|world-war-two-veteran|widow|suicide|sailor|railway-station|poker|neighbor|housewife|houseguest|friendship|flirting|famous-line|factory-worker|ethnic-slur|domestic-violence|doctor|deceit|dating|broken-engagement|birth|bankruptcy|marriage|bowling|pregnancy|sexual-promiscuity|teacher|birthday
tt0044079,oedipus-complex|tennis|murder|swapping-murders|psychopath|man-murders-a-woman|murder-of-a-pregnant-woman|woman-wears-eyeglasses|stranger|divorce|train|tennis-player|police|lighter|u.s.-senator|amusement-park|suspect|perfect-murder|island|guilt|cheating-wife|parallel-editing|impulsiveness|spoiled-rich-man|manicure|pathological-liar|centrifugal-force|malfunction|manhole|sportscaster|nightgown|manipulation|pointing-a-gun-at-someone|growling-dog|watchdog|dog-licking-someone|fainting-man|attempted-strangulation|murder-pact|reliving-the-past|punch-in-face|zoom-in|hand-drawn-map|building-map|custom-made|tie-pin|alibi|map-on-screen|police-protection|taxi|jefferson-memorial|washington-dc|black-butler|phone-ringing|persecution|broken-glasses|differential-equation|singing-drunk|mathematics-professor|reading-a-newspaper|watching-the-clock|shadowy-figure|fish-eye|black-gloved-killer|reflection-in-glasses|shadows-on-wall|luna-park|macguffin|homoerotic-subtext|gay-subtext|pregnant-wife|expectant-mother|1950s|accidental-killing|camera-shot-of-feet|death-of-pregnant-woman|man-strangles-woman|woman-strangled-to-death|homosexual-villain|resentment-toward-wife|dangerous-friend|character's-point-of-view-camera-shot|evil-man|queens-new-york-city|glasses|white-house|wedding|weakness|washington-monument-washington-d.c.|unfaithfulness|u.s.-president|u.s.-capitol-building|train-compartment|threat|teenage-boy|teacher|street-grating|stepping-on-someone's-hand|reference-to-st.-francis|sports-page|sports-announcer|speech|sound-booth|song|society-page|singing|singer|sideshow|shooting|setting-a-fire|sentenced-to-death|sense-of-smell|second-marriage|scandal|rocket-to-the-moon|remarriage|reference-to-george-washington|railway-station|railroad-track|punched-in-the-face|professor|priest|pregnancy|policeman|poison|piano|piano-tuner|phone-booth|phone-book|penn-station|pay-phone|party|painter|obsession|note|new-york-city|neck-breaking|money|mars-the-planet|mama's-boy|listening-to-recording|lincoln-memorial|lie|lawyer|kiss|kewpie-doll|judge|jet-plane|investigation|infidelity|helping-a-blind-man-cross-the-street|hate|gasoline|gambling|friendship|french|forest-hills-queens-new-york-city|following-someone|fire-escape|fainting|extramarital-affair|execution|electric-chair|driving-blindfolded|drinking|dressing-gown|drain|double-exposure-effects|double-cross|door-key|dog|dining-car|detective|death|crying|criss-cross|criminal|cowboy-costume|court|courtroom|college|club-car|carbon-monoxide-poisoning|call-for-help|burning-note|bourbon|boss'-daughter|bombing-the-white-house|boat|boat-ride|blindfold|blackmail|bigamy|atomic-power|athlete|arlington-virginia|adultery|meeting-on-a-train|death-of-expectant-mother|murder-of-a-stranger|giving-a-toast|secret-from-fiancee|false-accusation|punch-into-the-camera|trance|train-porter|tie-clip|telephone-call|suspect-tailing|small-town|sister-sister-relationship|shadow|screaming|radio-announcer|race-against-time|passionate-kiss|old-man|nightfall|music-store|murder-suspect|mother-son-relationship|maniac|malice|look-alike|insanity|innocent-suspect|gun|great-dane|gossip|french-accent|framed-for-murder|flirting|father-daughter-relationship|family-quarrel|evil-laughter|drunkenness|drunken-man|college-professor|child-in-peril|celebrity|blind-man|being-followed|anger|adulteress|marriage|husband-wife-relationship|father-son-relationship|cynicism|cigarette-smoking|double-life|tunnel-of-love|montage|cult-director|psychotronic|director-cameo|suspense|washington-d.c.|homosexual-subtext|black-comedy|chance-meeting|merry-go-round|carousel|strangulation|jefferson-memorial-washington-d.c.|stalking|stalker|parallel-montage|based-on-novel|tennis-match
tt0043278,winston-churchill-character|national-film-registry|afi|love|artist|art|painter|french|singer|painting|heiress|children|dream|pianist|dance|piano|nightclub|jukebox-musical|theme-party|1940s|montmartre-paris|painter-as-artist|starts-with-narration|first-person-narration|post-world-war-two|country-name-in-title|american-in-paris|orchestra|one-man-orchestra|dancing-on-a-piano|fin-de-siecle|street-life|stairway|song|singing|seine-river|marriage-engagement|garret|dancing|dancing-in-the-street|dancer|older-woman-younger-man-relationship|older-man-younger-woman-relationship|spontaneous-choreography|marly-horse|place-name-in-title|american-abroad|voice-over-narration|city-name-in-title|fantasy-sequence|american-expatriate|tap-dancing|rose|gershwin|cancan|blockbuster|costume-party|paris-france|new-year's-eve|perfume-shop|ballet|love-triangle|art-patronage|taxi|cafe|reverse-footage|composer|orchestra-concert|world-war-two-veteran
tt0043338,media-manipulation|newspaper|cave|new-mexico|media-circus|creating-a-news-story|trapped-in-a-cave|applying-for-a-job|dysfunctional-marriage|journalism|reporter|sheriff|corrupt-sheriff|rattlesnake|indian-reservation|newspaper-headline|rock-drill|sexy-blonde|long-take|teletype|radio-news|radio-newscaster|praying|newspaper-office|escedero-new-mexico|fired-from-the-job|cliff-dwelling|world-war-two-veteran|cynicism|indian-burial-ground|indian|burial-ground|navajo-indian|zuni-indian|national-film-registry|trapped|rescue|trading-post|vulture|libel|engineer|drinking|accident|photographer|mountain|gas-station|cave-in|satire|lighting-a-candle|human-interest-story|deputy's-badge|cigar|fifth-anniversary|man-on-the-street-interview|stethoscope|passenger-train|punched-in-the-face|fifty-dollar-bill|punched-in-the-belly|three-in-the-front-seat-of-a-car|bare-chested-male|man-singing|woman-praying|work-anniversary|chicken-taco|wearing-a-belt-and-suspenders|indian-artifact|needlepoint-slogan|singing-cowboy|intimidation|lighting-a-cigarette|thermos-of-coffee|riding-in-a-towed-car|man-with-glasses|reference-to-sitting-bull|reference-to-jesse-james|reference-to-king-tut|reference-to-george-armstrong-custer|reference-to-charles-lindbergh|publicity|news-service|official-corruption|misanthrope|misogamist|ruthlessness|bribery|extortion|misogynist|contempt|slattern|cigar-smoking|wire-service|media-frenzy|carnival-ride|materialism|reference-to-j.-edgar-hoover|pragmatism|femme-fatale|reference-to-lindy's|reference-to-yogi-berra|platinum-blonde|male-slaps-female|fur|fur-wrap|anniversary-present|tragic-event|writer|wedding-ring|typewriter|tv-news|tv-crew|truck-driver|train|trailer-home|tin-badge|tent|television-camera|television-broadcasting|telephone-call|tears|taco|suspenders|suitcase|stuck-in-elevator|song|siren|singing|shrine|ship-in-a-bottle|shale|rural-setting|rosary|religion|radio-announcer|publisher|politics|police|police-car|playing-cards|photograph|pay-phone|oxygen|nylons|needlework|navajo|mother-son-relationship|mother-in-law-daughter-in-law-relationship|miner|microphone|medicine-man|lie|liar|lantern|kneeling|kiss|jinx|insurance-salesman|headdress|husband-wife-relationship|holy-mountain|hamburger|guitar|greed|governor|food|reference-to-floyd-collins|flashlight|filling-station|ferris-wheel|father-son-relationship|father-in-law-daughter-in-law-relationship|family-relationships|exploitation|embroidery|elevator|election|dying|drunkenness|drink|drill|death|curse|crucifix|contractor|confession|cigarette-smoking|church|chewing-gum|cash-register|candle|camera|bus|blanket|belt|ambulance|adobe|scissors|last-rites|choking|tow-truck|tourist|superstition|stabbing|selfishness|ruins|priest|prayer|pneumonia|new-york-city|native-american|melodrama|marriage|marital-separation|loss-of-son|loss-of-husband|job-interview|interview|infidelity|gift|face-slap|doctor|diner|convertible|catholic|carnival|ambition|albuquerque-new-mexico|based-on-true-story|title-spoken-by-character
tt0043370,japan|trial-separation|show-within-a-show|awol|army-life
tt0043795,broadway|alimony|amnesia|scheme|orchestra|bandleader|chauffeur|hair-dresser|deceit|drinking|whiskey|cigarette-smoking|ticket-agent|airport|court-bailiff|court-order|process-server|slang|doctor|headwaiter|hotel|hotel-doorman|nightclub|judge|maid|bartender|flashback|rich-woman|broadway-musical|turtleneck-sweater|bigamy|vamp|jealousy|show-producer|stage-star|tourist|tourist-clip-joint|show-business|dancing|dancer|singing|singer|song|1950s|new-york-city|manhattan-new-york-city|miami-florida|remake|foreign-legion|broadway-manhattan-new-york-city
tt0043882,remake|entertainer|riviera|impersonation|redheaded-man|womanizer|television|singer|show-business|rivalry|puppet|pilot|partnership|nightclub|marriage|jealousy|financial-crisis|eyeglasses|double|dancer|contract|butler|businessman|american-abroad|airplane|dual-role|based-on-play
tt0043595,old-flame|college|rhyme-in-title|student|reporter|professor|politician|marriage-proposal|based-on-play
tt0043265,national-film-registry|afi|missionary|boat|torpedo|east-africa|redheaded-woman|marriage|rain|storm|death-sentence|boat-explosion|last-request|boat-goes-over-waterfall|going-over-a-waterfall|american-abroad|englishwoman-abroad|christian-woman|reference-to-antony-and-cleopatra|repairing-an-engine|explosive|reference-to-kaiser-wilhelm|death-of-brother|native-african-village|methodist-minister|canadian-expatriate|explosion|reference-to-cleopatra|reference-to-marc-antony|telescopic-rifle|year-1914|german-military|village-set-on-fire|brother-sister-relationship|mental-breakdown|ship-sinking|loss-of-brother|river-rapids|steamship|tanzania|boat-accident|world-war-one|boat-pilot|spinster
