IMDbId,keywords
tt0036430,minstrel-show|blackface|show|fictional-variety-show|1940s|1910s|based-on-stage-musical|orchestral-music-score|u.s.-army|soldier|world-war-one|world-war-two|song-and-dance|patriotism|military|man-dressed-as-woman|famous-song|basic-training
tt0035896,bridge|1930s|spanish|spanish-civil-war|mountain|civil-war|cave|switchblade|epic|mercy-killing|boyfriend-girlfriend-relationship|kiss|revolver|patrol|cavalry|rifle|bolt-action-rifle|pistol|war-violence|violence|battle|ambush|gunfight|shootout|tough-guy|chase|opening-action-scene|volunteer|traitor|star-crossed-lovers|self-sacrifice|rape|political-unrest|peasant|murder|marriage|loyalist|horse|gypsy|guerrilla-warfare|general|freedom-fighter|fascist|explosion|escape|duplicity|countryside|bombing|attraction|american-abroad|explosive|absinthe|passion|guerrilla|death|blockbuster|based-on-novel
tt0036969,younger-version-of-character|orphan|governess|ward|secret|aunt|english-governess|english-literature|star-crossed-lovers|house-party|dark-hero|older-man-younger-woman|may-december-romance|female-protagonist|voice-over-narration|rich-snob|great-dane|battered-child|upper-class|dog|religious-fanatic|pneumonia|house-fire|gothic-romance|gothic-mansion|first-person-narrative|corporal-punishment|1830s|1820s|wedding|wealth|shyness|religiosity|physician|orphanage|marriage|friendship|french|england|education|death|brother-in-law|arson|friendship-between-girls|19th-century|canceled-wedding|victorian-era|passion|melodrama|loss-of-friend|insanity|gothic|forbidden-love|dark-heroine|1840s|nanny|mad-woman|fire|blindness|ballet|child-abuse|girls'-school|haircut|mansion|servant|based-on-novel|character-name-in-title
tt0035942,remake|reference-to-william-shakespeare|rodeo-queen|mail-delivery|u.s.-mail|car-breakdown|reference-to-johnny-oaycheck|reference-to-joe-louis|reference-to-shakespeare's-romeo-and-juliet|father-daughter-relationship|boys'-college|reference-to-notre-dame-university|reference-to-dartmouth-college|cousin-cousin-relationship|birthday-party|marriage-proposal|horse-riding|grandfather-granddaughter-relationship|father-son-relationship|beauty-contest
tt0035749,rival|singer|music-hall|amusement-park|dance|saloon|sideshow
tt0035982,remake|turn-of-the-century|carnival-barker|gold-prospector|telephone-call|vaudeville|quarrel-between-spouses|san-francisco-california|husband-wife-relationship|marriage-for-money|song
tt0036406,newspaper-reporter|irish-american|count|vaudeville|gay-90s|remake|character-name-in-title
tt0034856,hitler-youth|nazi-party|hitlerjugend|school|nazi|german|propaganda|piano-playing|indoctrination|corporal-punishment|tribunal|conformity|nazi-colonel|premarital-sex|radio-broadcast|repression|fear|military-school|ping-pong|intimidation|gestapo|brutality|rhodes-scholar|1930s|archive-footage|first-person-narration|berlin-germany|1938-nazi-germany|reference-to-goethe|nazi-rally|sterilization|picnic|reference-to-faust|gettysburg-address|year-1933|benito-mussolini|reference-to-adolf-hitler|catholic-church|reference-to-ludwig-van-beethoven|reference-to-goebbels|loudspeaker|reference-to-napoleon|lash|reference-to-hermann-goering|sermon|reference-to-attila-the-hun|pulpit|whipping|trial|labor-camp|illicit-love|chess|brawl|baseball|fur-elise|bishop|based-on-book|sergeant|lieutenant|colonel
tt0036055,singer|con-man|zoot-suit|swindle|orchestra|jalopy|disguise|cross-dressing|carnival|aunt|revolving-door|skeleton|remake
tt0036497,propaganda|big-ben|1940s|strategy|world-war-one|world-war-two|wright-brothers|u.s.-air-force|torpedo|submarine|pearl-harbor|part-live-action|octopus|military|military-science|japan|germany|france|england|eiffel-tower-paris|eagle|dunkirk|dam|crete|bomber|battle-of-britain|aircraft-carrier|air-raid|1930s|1920s|1910s|1900s|aviation|based-on-book
tt0036342,murderer|serial-killer|amateur-detective|psychopath|santa-rosa-california|uncle-niece-relationship|falling-from-a-train|uncle|widow|suspect|california|telegram|bank|detective|murder|strong-female-lead|strong-female-character|niece|alfred-hitchcock-figure-character|national-film-registry|female-protagonist|charitable-killer|small-town-stereotype|public-library|bank-deposit|paranoia|gift|criminal|little-girl|surveillance|newspaper-on-a-stick|destroying-a-newspaper|wristwatch|waitress|voice-over-inner-thoughts|tuxedo|trust|train-tracks|traffic-cop|toast|throwing-a-hat-on-a-bed|throwing-a-drink-glass|telephone-call|telegraph-operator|teenage-girl|teenage-crush|teasing|tears|taxi|superstition|suitcase|step-on-a-crack-superstition|stairway|st.-paul-minnesota|speech|sparkling-burgundy|sleeping|shadow|secret|search|san-francisco-california|restaurant|repeated-scene|reference-to-victor-herbert|reference-to-sherlock-holmes|reference-to-ivanhoe|reference-to-dracula|reference-to-blue-danube-waltz|redcap|recipe|reading|reading-a-newspaper|questionnaire|pursuit|pretending-to-need-a-cane|present|precocious-child|praying|prayer|porch|poison|poisonous-mushroom|planning-a-murder|pipe-smoking|piggy-back-ride|photograph|photographer|pay-phone|party|opening-a-bank-account|oath|nightmare|newspaper-article|murder-threat|movie-theater|mother-son-relationship|mother-daughter-relationship|money|misogynist|misanthrope|minister|merry-widow-waltz|memory|marriage-proposal|making-a-cake|maine|love|locked-in-a-garage|listening-to-a-radio|librarian|lecture|last-chance|kiss|joke|jewelry|interview|innocence-lost|initials|infatuation|husband-wife-relationship|humming|hatred|hate|hand-over-mouth|hair-brush|guilt|garage|funeral|funeral-cortege|fresno-california|fox-fur-stole|food|following-someone|folding-a-dollar-bill|folding-and-tearing-a-newspaper-into-a-toy-house|flirting|flashlight|flash-camera|fear|father-son-relationship|father-daughter-relationship|fantasy-sequence|family-relationships|eyeglasses|engraving|emerald-ring|electric-chair|egg|drink|drinking|dream|donation|doctor|directing-traffic|dinner|deceit|damaged-stair-step|crying|crime-magazine|convertible|confession|coffee|cigar-smoking|champagne|card-playing|car-key|cane|camera|cafe|brushing-hair|brother-sister-relationship|brother-in-law-brother-in-law-relationship|breakfast-in-bed|book|blowing-smoke-circle|bicycle|bicycle-accident|beer|bank-teller|bank-officer|bank-account|bad-luck|average-family|asphyxiation|apron|americana|villain-played-by-lead-actor|cynicism|reference-to-veronica-lake|secret-from-family|ring|first-love|coming-of-age|people-with-the-same-name|mushroom|dysfunctional-family|refugee|police|neighbor|maniac|investigator|escape|double-life|deception|carbon-monoxide-poisoning|philadelphia-pennsylvania|train|pool-hall|landlady|investigation|bridge|railway-station|newspaper|library|small-town|fugitive|strangulation|brandy|falling-down-stairs|bank-manager|suspicion|breakfast|undercover-detective|waltz|chase|attempted-murder|telephone|church|suffocation|wine|bar|visit|golden-gate-bridge
tt0036241,doc-holliday|gunfighter|new-mexico-territory|apache-territory|apache-indian|homosexual-subtext|billy-the-kid|deep-focus|native-american|horse-trader|fatal-attraction|smoke-signal|self-defense|secret-marriage|nursing-back-to-health|murder|mexican-american|gunshot-wound|false-accusation|bound-and-gagged
