IMDbId,keywords
tt0066011,tragedy|death|rich-boy-poor-girl|young-love|tragic-love|harvard-law-school|husband-wife-relationship|father-son-relationship|leukemia|boston-massachusetts|terminal-illness|class-differences|college-student|student-athlete|premarital-sex|star-crossed-lovers|marriage-proposal|american-football|father-son-estrangement|ice-hockey
tt0065377,boeing-707|airport|bomb|aviation|airplane|kissing|first-part|disaster-film|pregnant-woman-in-jeopardy|passenger|snowstorm|pilot|runway|manager|stowaway|plane|storm|weather|snow|commissioner|disaster|unwed-pregnancy|expectant-father|expectant-mother|pregnant-woman|pregnant|split-screen-telephone-call|dysfunctional-couple|airport-security|title-same-as-book|unconsciousness|nervousness|marital-problem|tears|crying|bandage|wheelchair|peril|reporter|prayer|low-visibility|plow|supervisor|detroit|clergyman|physician|suction|blanket|injury|oxygen|blood|detonator|anxiety|tension|measuring-tape|ruse|co-pilot|suspense|cart|new-york|american|milwaukee|demolition|employer-employee-relationship|mental-illness|co-worker|radio-frequency|atlantic|earphones|security|mailbox|loss|letter|typewriter|phone-booth|knitting|grief|despair|customs|boarding-pass|pretender|communication|parking-lot|controller|airliner|vacuum-cleaner|police-officer|lawsuit|delay|luggage|uniform|counter|explosive|cafe|suitcase|laughter|maintenance|widow|hanger|italian|captain|shovel|little-girl|gala|fireplace|siren|jack-knifed-truck|intercom|protestor|waitress|placard|smuggling|emergency|take-off|crew|nature|smuggler|radar|pet-dog|winter|truck|flight|scam|mother-daughter-relationship|navigator|brother-in-law-brother-in-law-relationship|rome-italy|pager|terrorism|cigar-smoking|cigarette-smoking|multiple-storylines|air-traffic-control|security-guard|father-daughter-relationship|explosive-decompression|fear|danger|panic|terrorist-plot|news-report|protest|cult-film|mentally-disturbed-person|ambulance|knocked-out|explosion|world-war-two-veteran|death-of-husband|suicide-bomber|naturalism|suitcase-bomb|dynamite|deception|bus|taxi|money|money-problems|stewardess|pregnancy|englishwoman-abroad|husband-wife-relationship|diner|split-screen|snowplow|engineer|one-day|map|public-relations|customs-officer|exchange-student|doctor|priest|ensemble|70mm-film|old-woman|chicago-illinois|nun|contemporary-setting|one-word-title|unwanted-pregnancy|criminal|blizzard|workaholic|transcontinental-flight|stoleaway|niece|explosives-expert|desperation|briefcase|airport-personnel|terminal|tarmac|suicide|melodrama|mechanic|marriage|insurance|face-slap|extramarital-affair|airplane-accident|blockbuster|based-on-novel|title-spoken-by-character|surprise-ending|1970s
tt0066026,national-film-registry|afi|surgeon|mobile-army-surgical-hospital|korean-war|nurse|military|dentist|korea|golf|surgery|war-satire|black-doctor|hawaiian-shirt|female-star-appears-nude|racism|cult-film|reference-to-man-o'-war|reference-to-victor-mature|loudspeaker|loudspeaker-announcement|uniform|military-spoof|blood|american-soldier|one-word-title|acronym-in-title|coffin|amputation|entire-title-is-capitalized-acronym|immaturity|ignorance|clairvoyant|alcoholism|alcoholic|army-nurse|scene-based-on-painting|war-victim|war-injury|wager|syringe|suicidal|shower|public-nudity|military-officer|fight|female-nudity|fantasy-sequence|eavesdropping|draft-evasion|blackmail|american|blockbuster|practical-joke|jeep|cheating|blood-transfusion|adultery|american-football|satire|medical|m-a-s-h|black-comedy|strait-jacket|1950s|anti-war|army-life|based-on-novel|title-spoken-by-character
tt0066206,general|allies|destiny|tank|tough-guy|dead-soldier|anglo-american-relations|military-leadership|year-1944|star-spangled-banner|american-soldier|crazy-general|u.s.-army|armor|american-abroad|military-headquarters|north-africa-campaign|tunisia|afi|two-gun-holster|gun|gun-holster|holster|double-gun-holster|military|hero|warrior|d-day|sicily|army|all-male-cast|epic|portrait|surname-as-title|70mm-film|violence|war-violence|german-soldier|infantry|gunfight|shootout|cannon|explosion|bombardment|machine-gun|ambush|combat|shoulder-holster|pistol|war-hero|vulture|uniform|year-1942|reference-to-napoleon|year-1945|year-1943|steel-helmet|one-word-title|blizzard|glove-slap|portrait-sitting|old-glory|blockbuster|voice-over|small-town|screening-room|scavenger|ruins|newsreel-footage|interview|famous-entrance|cemetery|1940s|funeral-caisson|sicily-invasion|military-hospital|tank-battle|banquet|flag|military-promotion|apology|windmill|messina-italy|stars-and-stripes|famous-score|funeral|battle-of-the-bulge|berlin-germany|dog|prayer|riding-barn|relief|poem|reincarnation|face-slap|palermo-italy|toast|air-raid|leader|world-war-two|speech|rabat-morocco|army-life|malta|military-parade|based-on-book|title-spoken-by-character|character-name-in-title|actor-shares-first-name-with-character|national-film-registry|killing-an-animal|bastogne|france|egypt|england
tt0065421,butler|cat|animal-protagonist|talking-animal|singing-cat|disney|paris-france|kitten|horse|1910s|anthropomorphic-cat|carriage|truck|disappearance|singing-animal|singing|father-figure|anthropomorphic-dog|anthropomorphic-mouse|anthropomorphic-bird|anthropomorphic-goose|cartoon-cat|cartoon-bird|cartoon-goose|cartoon-horse|cartoon-mouse|cartoon-kitten|cartoon-dog|countryside|falling-in-love|alley-cat|elderly-woman|elderly-man|love|rain|two-word-title|girl-cat|jazz|pianist|mouse|dog|talking-horse|gramophone|milk|bowl-of-milk|falling-into-water|female-cat|woman|2d-animation|dancer|bowler-hat|hay|talking-dog|talking-mouse|talking-cat|talking-goose|talking-bird|milkman|trunk|windmill|horse-and-carriage|record-player|france|good-versus-evil|jealousy|alto-voice|baritone-voice|symbol|harp|balladeer|crooner|trumpet|acoustic-guitar|chopsticks|drums|harpist|accordion|accordionist|bass-voice|double-bass|lead-guitarist|trumpeter|lead-singer|bassist|friends-who-live-together|railroad|dance|pitchfork|paint|rescue|artist|umbrella|hat|bird|fishing-pole|goose|singer|song|train|river|newspaper|frog|night|castle-thunder|motorcycle|expression-taken-literally|piano|walking-on-piano-keys|croaking|sleeping-pill|kidnapping|fight|fall|dinner|dancing|surrealism|spiraling-eyes|anthropomorphism|anthropomorphic-animal|motorcycle-with-a-sidecar|greed|eiffel-tower-paris|eavesdropping|thunderstorm|skyline|single-mother|title-spoken-by-character
tt0066580,drugs|woodstock|music-festival|1960s|year-1969|rock-festival|vietnam-era|anti-war|outdoor-concert|new-york|counter-culture|concert-film|national-film-registry|hippie|the-who|performance|rain|peace|love|fence|art|mud|interview|helicopter|drug-use|split-screen|woman-with-glasses|man-with-glasses|long-hair|unshaved|place-name-in-title|one-word-title|meeting-place|beard|weed|reefer|illegal-drug|grass|ganja|endo|drug|dope|cannabis|cannabis-use|420|no-opening-credits|emotional-breakdown|female-nudity|rock-'n'-roll|female-frontal-nudity|tent|pot-smoking|military|crowd|progress|change|vietnam|vietnam-war|traffic-jam|stage|social-activism|pot|portable-toilet|political-activism|microphone|marijuana|hitchhiking|free-love|farm|equality|blanket|anti-conformity|anti-authority|farmer|organ|conga|electric-guitar|acoustic-guitar|rockumentary|rock-guitar|rock-band|policeman|u.s.-army|topless|stripping|sex-in-public|rock-group|public-nudity|protest-song|nude-swimming|nude-bathing|male-nudity|male-frontal-nudity|joint|guitar|guitar-playing|guitar-player|director's-cut|country-music|bus|anti-war-protest|live-in-concert-recording|rock-music|star-spangled-banner|live-recording|multi-screen
tt0065988,voice-over-narration|told-in-flashback|based-on-novel|anti-establishment|revisionist-western|indian-burial-ground|indian-burial|burial-ground|ground|burial|national-film-registry|raised-by-indians|george-armstrong-custer|little-big-horn|extermination|slaughter|sioux-indian|chief|cheyenne-indian|bigotry|warrior|horse-riding|horse|adopted-son|caucasian-boy-raised-by-american-indians|interracial-adoption|white-raised-as-indian|stockholm-syndrome|squaw|adoptive-father-adopted-son-relationship|white-indian|interracial-romance|going-native|adoptive-father|abducted-by-indians|alternate-history|native-american-white-relationships|race-relations|bar-shootout|battle-of-little-big-horn|sword-fight|sword|shot-with-a-bow-and-arrow|bow-and-arrow|tomahawk|war-paint|u.s.-cavalry|cavalry-charge|combat|winchester-rifle|carbine|battlefield|battle|death-of-wife|cowboys-and-indians|main-character-shot|saloon|murder|six-shooter|revolver|colt-45|historic-figure|dual-wield|shot-in-the-back|husband-wife-relationship|kissing-while-having-sex|war-violence|attempted-seduction|sex-in-a-tent|sex|tent|cult-film|fictional-biography|historical-fiction|giving-a-bath|bathtub|interview|wild-bill-hickok|storekeeper|sister|seduction|revenge|racism|preacher|pawnee-tribe|orphan|massacre|marriage|historian|hermit|gunfighter|desertion|childbirth|cheyenne-tribe|brother-sister-relationship|alcoholic|aged-person|adolescence|abduction|flashback|polygamy|native-american-captive|kidnapping|centenarian|cavalry|blockbuster|tar-and-feathers|custer's-last-stand|culture-clash|gunfight|female-gunfighter|medicine-show|native-american|death-of-friend|title-spoken-by-character|pistol|kiss|violence|covered-in-tar
tt0066319,reference-to-ludwig-van-beethoven|reference-to-lord-byron|reference-to-captain-blood|reference-to-ludwig-von-beethoven|village|pub|officer|village-idiot|gun|mute|beach|ireland|orgasm|lust|sex-scene|female-frontal-nudity|kiss|catholic|british-soldier|older-man-younger-woman-relationship|world-war-one|70mm-film|sexual-frustration|nudity|post-traumatic-stress-disorder|political-unrest|melodrama|love-triangle|irish-republican-army|extramarital-affair|teacher|suicide|storm|shell-shock|sea|seashell|rifle|revolver|priest|mob|grenade|father-daughter-relationship|dynamite|deformity|cuckold|cigarette-smoking|bullet|irish-rebellion|adultery|1910s|horse|gramophone|footprint|fireplace|crashing-waves|cliff|classroom|cigarette-case|bus|character-name-in-title
tt0066473,naval-aviation|attack|pearl-harbor|navy|hawaii|air-attack|japanese-navy|u.s.-navy|sunday|world-war-two|warplane|warship|japanese-soldier|dead-soldier|black-smoke|airplane-shot-down|naval-uniform|american-soldier|smoke|explosion|weekend|honolulu-hawaii|dive-bomber|declaration-of-war|day-of-infamy|air-strike|u.s.-pacific-fleet|battleship|anti-aircraft-gun|airfield|aircraft-carrier|surprise-attack|pacific-ocean|radar|air-raid|delayed-communication|based-on-novel|year-1941|reference-to-hirohito|reference-to-isoroku-yamamoto|bombing|aircraft|preemptive-strike|pilot|decryption|code-breaking|epic|ship's-cook|sinking-ship|reference-to-franklin-d.-roosevelt|naval-ship|fighter-plane|aerial-combat|u.s.-army|military-intelligence|japanese-ship|coupe|map|flying-lesson|naval-commander|army-captain|doubt|bomber-aircraft|b-17-bomber|u.s.s.-west-virginia|u.s.s.-oklahoma|u.s.s.-nevada|u.s.s.-arizona|typing|telegram|task-force|student-pilot|state-department|star-spangled-banner|shore-leave|u.s.-secretary-of-the-navy|scofield-barracks|radio-silence|oahu-hawaii|minesweeper|military-headquarters|heavy-cruiser|hangar|flag-raising|delay|convoy|bomber|biplane|u.s.-army-air-force|hickam-field|air-base|u-boat|vice-admiral|u.s.-president|staff-sergeant|rear-admiral|military-life|major|major-general|machine-gun|lieutenant-general|lieutenant-commander|lieutenant-colonel|gun|general|dry-dock|corporal|colonel|boat|airplane|admiral|torpedo|radio|submarine|airforce|ambassador|washington-d.c.|decoder|japan|reference-to-eleanor-roosevelt|reference-to-gandhi|military-strategy|three-word-title|punctuation-in-title|exclamation-point-in-title|repetition-in-title|armor-piercing-ammunition|prime-minister|national-park|tokyo-japan|negotiation|defeat
tt0065702,easter-island|extra-terrestrial|controversy|spaceship|easter-island-head|extraterrestrial|maya|ancient-astronaut|egyptian-pyramid|blockbuster|alien|based-on-book
