IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0066832,6.2,1,"Action, Drama",1971,Billy Jack (1971)
tt0067093,8.0,2,"Drama, Family, Musical",1971,Fiddler on the Roof (1971)
tt0066995,6.7,3,"Action, Adventure, Thriller",1971,Diamonds Are Forever (1971)
tt0067328,8.1,4,Drama,1971,The Last Picture Show (1971)
tt0066892,7.0,5,Drama,1971,Carnal Knowledge (1971)
tt0067217,7.2,6,"Comedy, Drama, Mystery",1971,The Hospital (1971)
tt0067991,6.2,7,"Horror, Sci-Fi",1971,Willard (1971)
tt0066817,7.1,8,"Animation, Adventure, Comedy",1971,Bedknobs and Broomsticks (1971)
tt0067810,5.5,9,"Crime, Drama, Thriller",1971,Sweet Sweetback's Baadasssss Song (1971)
tt0067065,6.3,10,"Action, Sci-Fi",1971,Escape from the Planet of the Apes (1971)
tt0067588,7.0,11,Thriller,1971,Play Misty for Me (1971)
tt0066830,6.0,12,"Action, Drama, Thriller",1971,The Big Doll House (1971)
tt0067525,6.6,13,"Action, Sci-Fi, Thriller",1971,The Omega Man (1971)
tt0066831,7.2,14,Western,1971,Big Jake (1971)
tt0066767,6.4,15,"Action, Crime, Thriller",1971,The Anderson Tapes (1971)
tt0067992,7.8,16,"Family, Fantasy, Musical",1971,Willy Wonka & the Chocolate Factory (1971)
tt0066434,6.8,17,"Drama, Sci-Fi, Thriller",1971,THX 1138 (1971)
tt0067778,7.8,18,"Comedy, Drama",1971,Le souffle au coeur (1971)
tt0090928,2.4,19,"Comedy, Horror, Thriller",1971,Honey Britches (1971)
tt0067541,7.7,20,"Drama, Thriller",1971,Wake in Fright (1971)
tt0067409,7.4,21,"Crime, Drama, Romance",1971,Max et les ferrailleurs (1971)
tt0246135,8.1,22,Drama,1971,"Out 1, noli me tangere (1971)"
tt0067580,6.8,23,"Drama, Fantasy",1971,Pink Narcissus (1971)
tt1466074,8.2,24,"Crime, Drama, Mystery",1971,Columbo (1971–2003)
tt0066921,8.3,25,"Crime, Drama, Sci-Fi",1971,A Clockwork Orange (1971)
tt0066819,7.2,26,"Drama, Thriller, War",1971,The Beguiled (1971)
tt0068149,7.6,27,"Drama, Family, Romance",1971,The Waltons (1971–1981)
tt0066626,8.3,28,"Comedy, Drama",1971,All in the Family (1971–1979)
tt0067023,7.7,29,"Action, Thriller",1971,Duel (1971 TV Movie)
tt0066999,7.8,30,"Action, Crime, Thriller",1971,Dirty Harry (1971)
tt0067116,7.8,31,"Action, Crime, Drama",1971,The French Connection (1971)
tt0068290,5.8,32,Horror,1971,Blood from the Mummy's Tomb (1971)
tt0067800,7.5,33,"Crime, Drama, Thriller",1971,Straw Dogs (1971)
