IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0121766,7.6,1,"Action, Adventure, Fantasy",2005,Star Wars: Episode III - Revenge of the Sith (2005)
tt0363771,6.9,2,"Adventure, Family, Fantasy",2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)"
tt0330373,7.7,3,"Adventure, Family, Fantasy",2005,Harry Potter and the Goblet of Fire (2005)
tt0407304,6.5,4,"Adventure, Sci-Fi, Thriller",2005,War of the Worlds (2005)
tt0360717,7.2,5,"Action, Adventure, Drama",2005,King Kong (2005)
tt0396269,7.0,6,"Comedy, Romance",2005,Wedding Crashers (2005)
tt0372784,8.3,7,"Action, Adventure, Thriller",2005,Batman Begins (2005)
tt0367594,6.7,8,"Adventure, Comedy, Family",2005,Charlie and the Chocolate Factory (2005)
tt0351283,6.9,9,"Animation, Adventure, Comedy",2005,Madagascar (2005)
tt0356910,6.5,10,"Action, Comedy, Crime",2005,Mr. & Mrs. Smith (2005)
tt0386588,6.6,11,"Comedy, Romance",2005,Hitch (I) (2005)
tt0398165,6.4,12,"Comedy, Crime, Sport",2005,The Longest Yard (2005)
tt0120667,5.7,13,"Action, Adventure, Family",2005,Fantastic Four (I) (2005)
tt0371606,5.8,14,"Animation, Adventure, Comedy",2005,Chicken Little (2005)
tt0358082,6.3,15,"Animation, Adventure, Comedy",2005,Robots (2005)
tt0358273,7.9,16,"Biography, Drama, Music",2005,Walk the Line (2005)
tt0395699,5.6,17,"Action, Comedy, Drama",2005,The Pacifier (2005)
tt0369441,6.1,18,"Comedy, Crime",2005,Fun with Dick and Jane (2005)
tt0405422,7.1,19,"Comedy, Romance",2005,The 40 Year Old Virgin (2005)
tt0408790,6.3,20,"Drama, Mystery, Thriller",2005,Flightplan (2005)
tt0432348,6.6,21,"Horror, Mystery",2005,Saw II (2005)
tt0388795,7.7,22,Drama,2005,Brokeback Mountain (2005)
tt0369735,5.5,23,"Comedy, Romance",2005,Monster-in-Law (2005)
tt0368578,4.6,24,"Adventure, Comedy, Family",2005,Are We There Yet? (2005)
tt0452598,5.5,25,"Adventure, Comedy, Family",2005,Cheaper by the Dozen 2 (2005)
tt0377818,5.1,26,"Action, Adventure, Comedy",2005,The Dukes of Hazzard (2005)
tt0428803,7.6,27,"Documentary, Family",2005,March of the Penguins (2005)
tt0377109,5.4,28,"Horror, Mystery, Thriller",2005,The Ring Two (2005)
tt0360486,7.0,29,"Drama, Fantasy, Thriller",2005,Constantine (2005)
tt0404032,6.7,30,"Drama, Horror, Thriller",2005,The Exorcism of Emily Rose (2005)
tt0430105,6.9,31,"Action, Crime, Drama",2005,Four Brothers (2005)
tt0401792,8.0,32,"Crime, Thriller",2005,Sin City (2005)
tt0373926,6.4,33,"Crime, Mystery, Thriller",2005,The Interpreter (2005)
tt0434409,8.2,34,"Action, Drama, Sci-Fi",2005,V for Vendetta (2005)
tt0372237,5.9,35,"Comedy, Romance",2005,Guess Who (2005)
tt0318649,6.0,36,"Action, Adventure, Comedy",2005,Sahara (2005)
tt0393162,7.3,37,"Biography, Drama, Sport",2005,Coach Carter (2005)
tt0400497,4.8,38,"Adventure, Comedy, Family",2005,Herbie Fully Loaded (2005)
tt0384806,6.0,39,"Drama, Horror, Mystery",2005,The Amityville Horror (2005)
tt0405325,6.2,40,"Adventure, Comedy, Family",2005,Sky High (2005)
tt0418763,7.0,41,"Biography, Drama, War",2005,Jarhead (2005)
tt0374536,4.8,42,"Comedy, Fantasy, Romance",2005,Bewitched (2005)
tt0352248,8.0,43,"Biography, Drama, Sport",2005,Cinderella Man (2005)
tt0356680,6.3,44,"Comedy, Drama, Romance",2005,The Family Stone (2005)
tt0421239,6.5,45,"Mystery, Thriller",2005,Red Eye (2005)
tt0397535,7.4,46,"Drama, Romance",2005,Memoirs of a Geisha (2005)
tt0375210,5.5,47,"Drama, Horror, Mystery",2005,White Noise (I) (2005)
tt0312004,7.5,48,"Animation, Adventure, Comedy",2005,The Curse of the Were-Rabbit (2005)
tt0377471,5.7,49,"Comedy, Crime, Music",2005,Be Cool (2005)
tt0443295,5.4,50,"Comedy, Family, Fantasy",2005,"Yours, Mine & Ours (2005)"
tt0121164,7.4,51,"Animation, Drama, Family",2005,Corpse Bride (2005)
tt0384642,5.6,52,"Comedy, Family, Romance",2005,Kicking & Screaming (2005)
tt0443536,6.5,53,"Animation, Action, Comedy",2005,Hoodwinked! (2005)
tt0382077,5.9,54,"Drama, Horror, Mystery",2005,Hide and Seek (2005)
tt0371724,6.8,55,"Adventure, Comedy, Sci-Fi",2005,The Hitchhiker's Guide to the Galaxy (2005)
tt0365737,6.9,56,"Drama, Thriller",2005,Syriana (2005)
tt0422093,5.7,57,"Comedy, Drama, Romance",2005,Diary of a Mad Black Woman (2005)
tt0444673,6.8,58,Documentary,2005,Mystery of the Nile (2005)
tt0376105,5.2,59,"Adventure, Comedy, Drama",2005,Racing Stripes (2005)
tt0385307,5.0,60,"Action, Comedy, Crime",2005,Miss Congeniality 2: Armed and Fabulous (2005)
tt0425123,6.7,61,"Comedy, Fantasy, Romance",2005,Just Like Heaven (2005)
tt0397101,6.5,62,"Drama, Horror, Mystery",2005,The Skeleton Key (2005)
tt0408306,7.6,63,"Drama, History, Thriller",2005,Munich (2005)
tt0320661,7.2,64,"Action, Adventure, Drama",2005,Kingdom of Heaven (2005)
tt0450278,5.9,65,"Horror, Mystery, Thriller",2005,Hostel (2005)
tt0396752,6.6,66,"Comedy, Family, Fantasy",2005,Nanny McPhee (2005)
tt0357507,4.2,67,"Drama, Horror, Mystery",2005,Boogeyman (2005)
tt0386140,5.9,68,"Action, Adventure, Western",2005,The Legend of Zorro (2005)
tt0417001,5.9,69,"Comedy, Romance",2005,Must Love Dogs (2005)
tt0388482,6.3,70,"Action, Crime, Thriller",2005,Transporter 2 (2005)
tt0398375,5.5,71,"Comedy, Drama, Romance",2005,Rumor Has It... (2005)
tt0332047,6.2,72,"Comedy, Drama, Romance",2005,Fever Pitch (2005)
tt0424774,3.5,73,"Action, Adventure, Family",2005,The Adventures of Sharkboy and Lavagirl 3-D (2005)
tt0403508,6.5,74,"Comedy, Drama, Romance",2005,The Sisterhood of the Traveling Pants (2005)
tt0414387,7.8,75,"Drama, Romance",2005,Pride & Prejudice (2005)
tt0355295,5.9,76,"Adventure, Comedy, Fantasy",2005,The Brothers Grimm (2005)
tt0388500,5.5,77,Comedy,2005,Beauty Shop (2005)
tt0398017,6.6,78,"Crime, Drama, Thriller",2005,Derailed (I) (2005)
tt0399201,6.9,79,"Action, Adventure, Romance",2005,The Island (2005)
tt0267891,5.8,80,"Comedy, Sport",2005,The Ringer (2005)
tt0340163,6.6,81,"Action, Crime, Drama",2005,Hostage (2005)
tt0401623,7.0,82,"Documentary, Animation, Short",2005,Magnificent Desolation: Walking on the Moon 3D (2005)
tt0387131,7.4,83,"Drama, Mystery, Romance",2005,The Constant Gardener (2005)
tt0388125,6.5,84,"Comedy, Drama, Romance",2005,In Her Shoes (2005)
tt0408524,5.8,85,"Comedy, Sport",2005,Bad News Bears (2005)
tt0418647,6.9,86,"Drama, Family, Sport",2005,Dreamer: Inspired by a True Story (2005)
tt0317132,6.4,87,"Comedy, Drama, Family",2005,Because of Winn-Dixie (2005)
tt0433400,6.2,88,"Comedy, Romance",2005,Just Friends (I) (2005)
tt0382992,5.0,89,"Action, Adventure, Sci-Fi",2005,Stealth (2005)
tt0397065,5.3,90,"Horror, Mystery, Thriller",2005,House of Wax (2005)
tt0455759,7.2,91,Short,2005,Side Effects (II) (2005)
tt0372532,6.1,92,"Comedy, Romance",2005,The Wedding Date (2005)
tt0433383,7.5,93,"Biography, Drama, History",2005,"Good Night, and Good Luck. (2005)"
tt0399146,7.5,94,"Crime, Drama, Thriller",2005,A History of Violence (2005)
tt0430308,5.2,95,"Biography, Crime, Drama",2005,Get Rich or Die Tryin' (2005)
tt0432291,3.6,96,Horror,2005,The Fog (2005)
tt0406375,6.2,97,"Action, Adventure, Comedy",2005,Zathura: A Space Adventure (2005)
tt0294870,7.0,98,"Drama, Musical, Romance",2005,Rent (2005)
tt0379725,7.4,99,"Biography, Crime, Drama",2005,Capote (2005)
tt0419706,5.2,100,"Action, Adventure, Horror",2005,Doom (2005)
tt0329774,4.4,101,"Action, Adventure, Crime",2005,xXx: State of the Union (2005)
tt0368709,6.4,102,"Comedy, Drama, Romance",2005,Elizabethtown (2005)
tt0435625,7.2,103,"Adventure, Horror, Thriller",2005,The Descent (2005)
tt0402022,5.5,104,"Action, Sci-Fi",2005,Æon Flux (2005)
tt0379786,7.9,105,"Action, Adventure, Sci-Fi",2005,Serenity (2005)
tt0382628,5.6,106,"Drama, Horror, Thriller",2005,Dark Water (2005)
tt0427944,7.6,107,"Comedy, Drama",2005,Thank You for Smoking (2005)
tt0342258,7.0,108,"Action, Crime, Drama",2005,Unleashed (2005)
tt0357277,4.7,109,"Action, Adventure, Crime",2005,Elektra (2005)
tt0396652,6.0,110,"Comedy, Drama, Family",2005,Ice Princess (2005)
tt0399295,7.6,111,"Crime, Drama, Thriller",2005,Lord of War (2005)
tt0416320,7.7,112,"Drama, Romance, Thriller",2005,Match Point (2005)
tt0417217,6.2,113,"Drama, Sport, Thriller",2005,Two for the Money (2005)
tt0387514,6.2,114,"Comedy, Drama, Romance",2005,Prime (2005)
tt0367652,4.6,115,Comedy,2005,Deuce Bigalow: European Gigolo (2005)
tt0410097,7.4,116,"Crime, Drama, Music",2005,Hustle & Flow (2005)
tt0391304,6.6,117,"Comedy, Drama, Romance",2005,A Lot Like Love (2005)
tt0418819,6.2,118,"Horror, Sci-Fi, Thriller",2005,Land of the Dead (2005)
tt0398712,6.3,119,"Action, Crime, Drama",2005,Assault on Precinct 13 (2005)
tt0331933,5.4,120,"Comedy, Crime",2005,Man of the House (I) (2005)
tt0361089,5.6,121,"Animation, Adventure, Comedy",2005,Valiant (2005)
tt0395251,6.4,122,"Comedy, Musical",2005,The Producers (2005)
tt0257516,5.0,123,"Comedy, Horror",2005,Cursed (2005)
tt0365885,6.9,124,"Comedy, Drama",2005,The Upside of Anger (2005)
tt0378109,5.8,125,"Action, Adventure, Crime",2005,Into the Blue (2005)
tt0395972,7.3,126,Drama,2005,North Country (2005)
tt0407121,6.4,127,"Animation, Comedy, Family",2005,Pooh's Heffalump Movie (2005)
tt0403455,6.1,128,"Comedy, Drama, Music",2005,Roll Bounce (2005)
tt0395584,6.9,129,"Crime, Horror",2005,The Devil's Rejects (2005)
tt0362165,2.2,130,"Comedy, Family, Fantasy",2005,Son of the Mask (2005)
tt0376108,5.1,131,"Comedy, Family, Sport",2005,Rebound (2005)
tt0457528,5.7,132,"Documentary, Short",2005,Wild Safari 3D (2005)
tt0429573,5.0,133,"Horror, Mystery, Thriller",2005,An American Haunting (2005)
tt0380623,5.5,134,"Comedy, Family, Romance",2005,The Perfect Man (2005)
tt0416315,6.3,135,"Horror, Thriller",2005,Wolf Creek (2005)
tt0348333,6.8,136,Comedy,2005,Waiting... (I) (2005)
tt0451069,4.4,137,"Drama, Music",2005,The Gospel (2005)
tt0388980,7.5,138,"Biography, Drama, History",2005,The Greatest Game Ever Played (2005)
tt0402901,5.1,139,"Action, Adventure, Horror",2005,The Cave (2005)
tt0412019,7.2,140,"Comedy, Drama, Mystery",2005,Broken Flowers (2005)
tt0373908,3.1,141,"Comedy, Drama, Family",2005,The Honeymooners (2005)
tt0402399,6.7,142,"Biography, Drama, History",2005,The New World (2005)
tt0365485,6.8,143,"Comedy, Crime, Drama",2005,The Matador (2005)
tt0470456,5.9,144,Drama,2005,Onaji tsuki wo miteiru (2005)
tt0384680,6.6,145,"Comedy, Drama",2005,The Weather Man (2005)
tt0399862,7.0,146,"Adventure, Biography, Drama",2005,End of the Spear (2005)
tt0427954,7.1,147,"Action, Crime, Drama",2005,Tom yum goong (2005)
tt0425598,7.2,148,"Documentary, Comedy, Music",2005,Dave Chappelle's Block Party (2005)
tt0402894,6.5,149,"Adventure, Comedy, Drama",2005,Casanova (2005)
tt0413015,7.1,150,"Comedy, Drama, Music",2005,Mrs Henderson Presents (2005)
tt0355702,7.1,151,"Biography, Drama, Sport",2005,Lords of Dogtown (2005)
tt0338427,6.4,152,"Drama, Romance",2005,Shopgirl (2005)
tt0421054,6.0,153,"Action, Biography, Crime",2005,Domino (2005)
tt0326905,6.7,154,"Action, Drama, War",2005,The Great Raid (2005)
tt0426615,2.7,155,"Comedy, Crime, Drama",2005,In the Mix (2005)
tt0384286,5.9,156,"Drama, Horror, Mystery",2005,Cry Wolf (2005)
tt0407265,7.4,157,"Adventure, Comedy, Drama",2005,Transamerica (2005)
tt0417415,6.5,158,"Documentary, Family",2005,Aliens of the Deep (2005)
tt0400525,6.3,159,"Comedy, Crime, Drama",2005,The Ice Harvest (2005)
