IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt3748528,7.8,1,"Action, Adventure, Sci-Fi",2016,Rogue One (2016)
tt2277860,7.3,2,"Animation, Adventure, Comedy",2016,Finding Dory (2016)
tt3498820,7.8,3,"Action, Adventure, Sci-Fi",2016,Captain America: Civil War (2016)
tt2709768,6.5,4,"Animation, Adventure, Comedy",2016,The Secret Life of Pets (2016)
tt3040964,7.5,5,"Adventure, Drama, Family",2016,The Jungle Book (2016)
tt1431045,8.0,6,"Action, Adventure, Comedy",2016,Deadpool (2016)
tt2948356,8.0,7,"Animation, Adventure, Comedy",2016,Zootopia (2016)
tt2975590,6.6,8,"Action, Adventure, Fantasy",2016,Batman v Superman: Dawn of Justice (2016)
tt1386697,6.1,9,"Action, Adventure, Fantasy",2016,Suicide Squad (2016)
tt3470600,7.1,10,"Animation, Comedy, Family",2016,Sing (2016)
tt3521164,7.6,11,"Animation, Adventure, Comedy",2016,Moana (I) (2016)
tt3183660,7.4,12,"Adventure, Family, Fantasy",2016,Fantastic Beasts and Where to Find Them (2016)
tt1211837,7.5,13,"Action, Adventure, Fantasy",2016,Doctor Strange (2016)
tt4846340,7.8,14,"Biography, Drama, History",2016,Hidden Figures (2016)
tt4196776,6.6,15,"Action, Thriller",2016,Jason Bourne (2016)
tt2660888,7.1,16,"Action, Adventure, Sci-Fi",2016,Star Trek: Beyond (2016)
tt3385516,7.0,17,"Action, Adventure, Sci-Fi",2016,X-Men: Apocalypse (2016)
tt1679335,6.5,18,"Animation, Adventure, Comedy",2016,Trolls (2016)
tt3783958,8.1,19,"Comedy, Drama, Music",2016,La La Land (I) (2016)
tt2267968,7.1,20,"Animation, Action, Adventure",2016,Kung Fu Panda 3 (2016)
tt4972582,7.3,21,"Horror, Thriller",2016,Split (IX) (2016)
tt1289401,5.3,22,"Action, Comedy, Fantasy",2016,Ghostbusters (2016)
tt1489889,6.3,23,"Action, Comedy, Crime",2016,Central Intelligence (2016)
tt0918940,6.3,24,"Action, Adventure, Drama",2016,The Legend of Tarzan (2016)
tt3263904,7.5,25,"Biography, Drama",2016,Sully (2016)
tt4651520,6.2,26,Comedy,2016,Bad Moms (2016)
tt1985949,6.3,27,"Animation, Action, Adventure",2016,Angry Birds (2016)
tt1628841,5.2,28,"Action, Adventure, Sci-Fi",2016,Independence Day: Resurgence (2016)
tt3065204,7.4,29,"Horror, Mystery, Thriller",2016,The Conjuring 2 (2016)
tt2543164,7.9,30,"Drama, Mystery, Sci-Fi",2016,Arrival (II) (2016)
tt1355644,7.0,31,"Drama, Sci-Fi, Thriller",2016,Passengers (I) (2016)
tt1700841,6.2,32,"Animation, Adventure, Comedy",2016,Sausage Party (2016)
tt2404435,6.9,33,"Action, Adventure, Western",2016,The Magnificent Seven (2016)
tt2869728,5.9,34,"Action, Comedy",2016,Ride Along 2 (2016)
tt4160708,7.1,35,"Crime, Horror, Thriller",2016,Don't Breathe (2016)
tt1935859,6.7,36,"Adventure, Drama, Family",2016,Miss Peregrine's Home for Peculiar Children (2016)
tt2140479,7.4,37,"Action, Crime, Drama",2016,The Accountant (2016)
tt3949660,6.0,38,"Action, Adventure, Comedy",2016,Teenage Mutant Ninja Turtles: Out of the Shadows (2016)
tt4094724,6.0,39,"Action, Horror, Sci-Fi",2016,The Purge: Election Year (2016)
tt2567026,6.2,40,"Adventure, Family, Fantasy",2016,Alice Through the Looking Glass (2016)
tt2788732,6.7,41,"Action, Adventure, Comedy",2016,Pete's Dragon (2016)
tt3631112,6.5,42,"Crime, Drama, Mystery",2016,The Girl on the Train (2016)
tt5325452,4.6,43,"Comedy, Horror",2016,Boo! A Madea Halloween (2016)
tt4624424,6.8,44,"Animation, Adventure, Comedy",2016,Storks (2016)
tt1179933,7.2,45,"Drama, Horror, Mystery",2016,10 Cloverfield Lane (2016)
tt4786282,6.3,46,Horror,2016,Lights Out (II) (2016)
tt2119532,8.2,47,"Biography, Drama, History",2016,Hacksaw Ridge (2016)
tt3410834,5.7,48,"Action, Adventure, Mystery",2016,Allegiant (2016)
tt3110958,6.5,49,"Action, Adventure, Comedy",2016,Now You See Me 2 (2016)
tt3416828,5.7,50,"Animation, Adventure, Comedy",2016,Ice Age: Collision Course (2016)
tt2702724,5.4,51,Comedy,2016,The Boss (2016)
tt3300542,5.9,52,"Action, Drama, Thriller",2016,London Has Fallen (2016)
tt4257926,7.1,53,"Biography, Drama, Family",2016,Miracles from Heaven (2016)
tt1860357,7.2,54,"Action, Drama, Thriller",2016,Deepwater Horizon (2016)
tt4501244,6.2,55,Comedy,2016,Why Him? (2016)
tt3760922,6.0,56,"Comedy, Romance",2016,My Big Fat Greek Wedding 2 (2016)
tt3393786,6.1,57,"Action, Adventure, Crime",2016,Jack Reacher: Never Go Back (2016)
tt2671706,7.2,58,Drama,2016,Fences (2016)
tt2674426,7.4,59,"Drama, Romance",2016,Me Before You (2016)
tt3691740,6.4,60,"Adventure, Family, Fantasy",2016,The BFG (2016)
tt4438848,5.7,61,Comedy,2016,Neighbors 2: Sorority Rising (2016)
tt4052882,6.3,62,"Drama, Horror, Thriller",2016,The Shallows (2016)
tt1711525,5.8,63,Comedy,2016,Office Christmas Party (2016)
tt2094766,5.8,64,"Action, Adventure, Fantasy",2016,Assassin's Creed (2016)
tt3628584,5.9,65,"Comedy, Drama",2016,Barbershop: The Next Cut (2016)
tt4172430,7.3,66,"Action, Drama, History",2016,13 Hours (2016)
tt3741834,8.1,67,"Biography, Drama",2016,Lion (2016)
tt2381991,6.1,68,"Action, Adventure, Drama",2016,The Huntsman: Winter's War (2016)
tt4302938,7.8,69,"Animation, Action, Adventure",2016,Kubo and the Two Strings (2016)
tt4034228,7.8,70,Drama,2016,Manchester by the Sea (2016)
tt0803096,6.9,71,"Action, Adventure, Fantasy",2016,Warcraft (2016)
tt1292566,6.1,72,"Comedy, Romance",2016,How to Be Single (2016)
tt2823054,6.0,73,"Adventure, Comedy, Romance",2016,Mike and Dave Need Wedding Dates (2016)
tt2034800,6.0,74,"Action, Adventure, Fantasy",2016,The Great Wall (I) (2016)
tt2005151,7.1,75,"Comedy, Crime, Drama",2016,War Dogs (2016)
tt4649416,6.0,76,"Comedy, Drama",2016,Almost Christmas (2016)
tt2241351,6.5,77,"Crime, Drama, Thriller",2016,Money Monster (2016)
tt3640424,7.1,78,"Action, Drama, Romance",2016,Allied (2016)
tt3531824,6.6,79,"Action, Adventure, Crime",2016,Nerve (I) (2016)
tt3231054,6.3,80,"Action, Adventure, Drama",2016,Risen (2016)
tt3799694,7.4,81,"Action, Comedy, Crime",2016,The Nice Guys (2016)
tt3882082,6.0,82,"Horror, Mystery, Thriller",2016,The Boy (2016)
tt1860213,5.9,83,Comedy,2016,Dirty Grandpa (2016)
tt2304933,5.2,84,"Action, Adventure, Sci-Fi",2016,The 5th Wave (2016)
tt4361050,6.1,85,"Horror, Thriller",2016,Ouija: Origin of Evil (2016)
tt3062096,6.2,86,"Action, Adventure, Crime",2016,Inferno (I) (2016)
tt3095734,5.7,87,"Action, Adventure, Comedy",2016,Monster Trucks (2016)
tt4824302,5.6,88,"Comedy, Drama",2016,Mother's Day (I) (2016)
tt4572514,7.4,89,"Crime, Drama, History",2016,Patriots Day (2016)
tt2404233,5.4,90,"Action, Adventure, Fantasy",2016,Gods of Egypt (2016)
tt4682786,6.8,91,"Drama, Romance",2016,Collateral Beauty (2016)
tt3717252,5.8,92,"Action, Adventure, Fantasy",2016,Underworld: Blood Wars (2016)
tt0475290,6.3,93,"Comedy, Mystery",2016,"Hail, Caesar! (2016)"
tt1389139,4.9,94,"Crime, Drama, Horror",2016,When the Bough Breaks (2016)
tt1608290,4.7,95,Comedy,2016,Zoolander 2 (2016)
tt4975722,7.4,96,Drama,2016,Moonlight (I) (2016)
tt2025690,6.8,97,"Action, Drama, History",2016,The Finest Hours (2016)
tt4136084,6.9,98,"Biography, Comedy, Drama",2016,Florence Foster Jenkins (2016)
tt2582782,7.6,99,"Crime, Drama, Thriller",2016,Hell or High Water (II) (2016)
tt2592614,5.6,100,"Action, Horror, Sci-Fi",2016,Resident Evil: The Final Chapter (2016)
tt3387542,4.8,101,"Horror, Mystery, Thriller",2016,The Forest (I) (2016)
tt2638144,5.7,102,"Action, Adventure, Drama",2016,Ben-Hur (2016)
tt2261287,6.8,103,"Animation, Adventure, Comedy",2016,Ballerina (2016)
tt1473832,6.6,104,"Comedy, Romance",2016,Bridget Jones's Baby (2016)
tt4669186,5.8,105,"Documentary, Comedy",2016,Kevin Hart: What Now? (2016)
tt3553442,6.6,106,"Biography, Comedy, Drama",2016,Whiskey Tango Foxtrot (2016)
tt3774114,7.3,107,"Biography, Drama, Thriller",2016,Snowden (2016)
tt3522806,5.7,108,"Action, Adventure, Crime",2016,Mechanic: Resurrection (2016)
tt1540011,5.0,109,"Horror, Thriller",2016,Blair Witch (2016)
tt4824308,4.4,110,Drama,2016,God's Not Dead 2 (2016)
tt1124037,6.9,111,"Action, Biography, Drama",2016,Free State of Jones (2016)
tt4139124,6.3,112,"Action, Comedy",2016,Keanu (2016)
tt4981636,6.1,113,"Animation, Comedy, Family",2016,Middle School: The Worst Years of My Life (2016)
tt4383594,5.3,114,"Comedy, Drama, Family",2016,Nine Lives (I) (2016)
tt3499096,7.1,115,"Biography, Drama, Sport",2016,Race (I) (2016)
tt3797868,6.6,116,"Drama, Romance",2016,The Choice (I) (2016)
tt1798603,5.6,117,"Comedy, Crime, Drama",2016,Bad Santa 2 (2016)
tt2461150,5.8,118,"Action, Comedy, Crime",2016,Masterminds (I) (2016)
tt1594972,3.6,119,"Animation, Adventure, Comedy",2016,Norm of the North (2016)
tt4196450,6.4,120,"Biography, Drama, History",2016,The Birth of a Nation (2016)
tt1083452,7.4,121,"Biography, Comedy, Drama",2016,Eddie the Eagle (2016)
tt1355631,7.0,122,"Biography, Crime, Drama",2016,The Infiltrator (2016)
tt2387499,5.9,123,"Action, Comedy",2016,Keeping Up with the Joneses (2016)
tt3014866,6.3,124,"Action, Crime, Drama",2016,Criminal (2016)
tt1878870,7.4,125,"Comedy, Drama",2016,The Edge of Seventeen (2016)
tt3068194,6.4,126,"Comedy, Drama, Romance",2016,Love & Friendship (2016)
tt1619029,6.7,127,"Biography, Drama, History",2016,Jackie (V) (2016)
tt4629266,7.2,128,Documentary,2016,Born in China (2016)
tt2800050,7.6,129,Documentary,2016,A Beautiful Planet (2016)
tt5646136,5.4,130,Documentary,2016,Hillary's America: The Secret History of the Democratic Party (2016)
tt4276820,7.2,131,"Biography, Drama, History",2016,The Founder (2016)
tt1712261,6.3,132,"Action, Crime, Drama",2016,Triple 9 (2016)
tt2547584,7.2,133,"Drama, Romance",2016,The Light Between Oceans (2016)
tt5074352,8.6,134,"Action, Biography, Drama",2016,Dangal (2016)
tt4667094,3.5,135,Comedy,2016,Fifty Shades of Black (2016)
tt5259966,5.7,136,Comedy,2016,No Manches Frida (2016)
tt4513674,6.6,137,"Comedy, Drama, Romance",2016,Café Society (2016)
tt1374989,5.8,138,"Action, Horror, Romance",2016,Pride and Prejudice and Zombies (2016)
tt1878841,4.4,139,"Horror, Thriller",2016,The Darkness (I) (2016)
tt4550098,7.5,140,"Crime, Drama, Romance",2016,Nocturnal Animals (2016)
tt2361317,6.4,141,"Action, Crime, Drama",2016,Live by Night (2016)
tt1082807,6.1,142,"Action, Horror, Thriller",2016,The Belko Experiment (2016)
tt4871980,4.9,143,"Comedy, Romance",2016,The Perfect Match (2016)
tt2822672,5.9,144,"Animation, Adventure, Comedy",2016,Rock Dog (2016)
tt3960412,6.7,145,"Comedy, Music",2016,Popstar: Never Stop Never Stopping (2016)
tt4191580,5.7,146,"Comedy, Horror",2016,Meet the Blacks (2016)
tt4341582,7.4,147,"Biography, Drama, Sport",2016,Queen of Katwe (2016)
tt1212428,6.6,148,"Adventure, Biography, Drama",2016,The Lost City of Z (2016)
tt2865120,5.6,149,"Animation, Action, Adventure",2016,Ratchet & Clank (2016)
tt4731136,6.4,150,"Drama, Fantasy, Horror",2016,A Cure for Wellness (2016)
tt4731008,5.3,151,"Animation, Adventure, Comedy",2016,Robinson Crusoe (2016)
tt4669986,7.0,152,"Biography, Drama, Romance",2016,Loving (2016)
tt1800302,6.7,153,"Adventure, Drama, Thriller",2016,Gold (I) (2016)
tt5804038,7.8,154,Documentary,2016,I Am Not Your Negro (2016)
tt0490215,7.2,155,"Adventure, Drama, History",2016,Silence (I) (2016)
tt2720826,5.3,156,"Action, Biography, Drama",2016,Birth of the Dragon (2016)
tt2582500,4.7,157,"Drama, Horror, Thriller",2016,Shut In (I) (2016)
tt3381008,6.2,158,"Action, Adventure, Comedy",2016,Grimsby (2016)
tt1002563,5.6,159,"Drama, Fantasy",2016,The Young Messiah (2016)
tt4258698,6.4,160,"Biography, Drama, History",2016,Southside with You (2016)
tt4832640,7.1,161,"Action, Drama, Sport",2016,Sultan (2016)
tt3721954,7.7,162,"Biography, Drama, Romance",2016,Maudie (2016)
tt1366338,5.6,163,"Adventure, Crime, Drama",2016,Lowriders (2016)
tt3553976,7.9,164,"Comedy, Drama",2016,Captain Fantastic (2016)
tt4385888,7.4,165,"Comedy, Drama",2016,20th Century Women (2016)
tt4429194,5.7,166,"Comedy, Drama, Romance",2016,Bonjour Anne (2016)
tt4698684,7.9,167,"Adventure, Comedy, Drama",2016,Hunt for the Wilderpeople (2016)
tt5311514,8.4,168,"Animation, Drama, Fantasy",2016,Kimi no na wa. (2016)
tt1620935,6.8,169,"Biography, Drama, Sport",2016,Bleed for This (2016)
tt3216348,5.2,170,"Fantasy, Horror, Mystery",2016,Incarnate (2016)
tt2112096,5.4,171,"Comedy, Crime",2016,Absolutely Fabulous: The Movie (2016)
tt1781827,6.6,172,"Action, Biography, Drama",2016,Hands of Stone (2016)
tt4972062,6.8,173,"Comedy, Drama",2016,Don't Think Twice (2016)
tt4559006,5.8,174,"Drama, Music, Musical",2016,Ae Dil Hai Mushkil (2016)
tt4034354,7.0,175,"Adventure, Comedy, Drama",2016,Swiss Army Man (2016)
