IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0064115,8.1,1.0,"Biography, Crime, Drama",1969,Butch Cassidy and the Sundance Kid (1969)
tt0064665,7.9,2.0,Drama,1969,Midnight Cowboy (1969)
tt0064276,7.4,3.0,"Adventure, Drama",1969,Easy Rider (1969)
tt0064100,6.7,4.0,"Comedy, Drama, Romance",1969,Bob & Carol & Ted & Alice (1969)
tt0064782,6.7,5.0,"Comedy, Drama, Musical",1969,Paint Your Wagon (1969)
tt0065126,7.4,6.0,"Adventure, Drama, Western",1969,True Grit (1969)
tt0064117,7.2,7.0,"Comedy, Romance",1969,Cactus Flower (1969)
tt0064381,6.5,8.0,"Comedy, Drama, Romance",1969,"Goodbye, Columbus (1969)"
tt0064757,6.8,9.0,"Action, Adventure, Thriller",1969,On Her Majesty's Secret Service (1969)
tt0065215,6.1,10.0,"Action, Drama, Sport",1969,Winning (1969)
tt0065037,6.9,11.0,"Comedy, Drama, Romance",1969,The Sterile Cuckoo (1969)
tt0168192,3.9,12.0,"Comedy, Drama",1969,The Stewardesses (1969)
tt0064911,5.3,13.0,"Action, Drama",1969,"Run, Angel, Run! (1969)"
tt0064418,7.2,14.0,"Adventure, Comedy, Musical",1969,"Hello, Dolly! (1969)"
tt0064041,6.6,15.0,"Drama, Romance",1969,The Arrangement (1969)
tt0064002,6.3,16.0,"Comedy, Drama, Music",1969,Alice's Restaurant (1969)
tt0064639,5.8,17.0,"Adventure, Drama, Sci-Fi",1969,Marooned (1969)
tt0064169,7.5,18.0,"Crime, Drama",1969,Le clan des Siciliens (1969)
tt0064158,5.2,19.0,"Biography, Drama, History",1969,Che! (1969)
tt0064155,5.7,20.0,Western,1969,Charro! (1969)
tt0064212,3.4,21.0,"Biography, Drama, History",1969,De Sade (1969)
tt0064040,8.2,22.0,"Drama, War",1969,The Army of Shadows (1969)
tt0065234,8.2,23.0,"Crime, Drama, History",1969,Z (1969)
tt0219724,5.9,24.0,Drama,1969,Gutter Trash (1969)
tt0064816,7.1,25.0,"Crime, Drama, Romance",1969,La piscine (1969)
tt0064990,7.2,26.0,"Crime, Drama, Romance",1969,La sirène du Mississipi (1969)
tt0204416,,,"Crime, Drama",1969,Iro (1969)
tt0219935,7.6,28.0,"Documentary, Biography, Sport",1969,"Muhammad Ali, the Greatest (1969)"
tt0063950,7.9,29.0,"Animation, Comedy, Family",1969,"Scooby Doo, Where Are You! (1969–1970)"
tt0063878,6.7,30.0,"Comedy, Family",1969,The Brady Bunch (1969–1974)
tt0063951,8.2,31.0,"Animation, Comedy, Family",1969,Sesame Street (1969– )
tt0063908,6.9,32.0,"Comedy, Music",1969,Hee Haw (1969–1997)
tt0064323,7.5,33.0,"Drama, Thriller",1969,La Femme Infidèle (1969)
tt0064505,7.4,34.0,"Action, Comedy, Crime",1969,The Italian Job (1969)
tt0065327,8.0,35.0,"Drama, Fantasy, Horror",1969,Night Gallery (1969–1973)
tt0065214,8.0,36.0,"Action, Adventure, Western",1969,The Wild Bunch (1969)
tt0063929,8.9,37.0,Comedy,1969,Monty Python's Flying Circus (1969–1974)
tt0066579,7.5,38.0,"Drama, Romance",1969,Women in Love (1969)
tt0063936,7.1,39.0,Comedy,1969,On the Buses (1969–1973)
tt0063946,7.7,40.0,"Action, Comedy, Crime",1969,Randall and Hopkirk (Deceased) (1969–1971)
tt0065112,6.3,41.0,"Drama, Thriller",1969,Topaz (1969)
tt0065150,6.7,42.0,Western,1969,The Undefeated (1969)
tt0064072,7.0,43.0,"Action, Drama, History",1969,Battle of Britain (1969)
tt0064541,7.9,44.0,"Drama, Family",1969,Kes (1969)
tt0064940,7.0,45.0,"Drama, Fantasy, History",1969,Fellini - Satyricon (1969)
tt0065088,7.9,46.0,Drama,1969,"They Shoot Horses, Don't They? (1969)"
tt0062598,7.4,47.0,"Adventure, Family, Fantasy",1969,Pippi Långstrump (1969)
tt0063925,6.9,48.0,"Comedy, Romance",1969,"Love, American Style (1969–1974)"
tt0063907,7.6,49.0,"Adventure, Family, Fantasy",1969,H.R. Pufnstuf (1969–1970)
tt0064840,7.6,50.0,"Drama, Romance",1969,The Prime of Miss Jean Brodie (1969)
tt0064118,7.6,51.0,"Drama, War",1969,La caduta degli dei (Götterdämmerung) (1969)
tt0064110,6.7,52.0,"Action, Drama, War",1969,The Bridge at Remagen (1969)
tt0063948,7.7,53.0,"Comedy, Drama, Family",1969,Room 222 (1969–1974)
tt0063927,7.2,54.0,Drama,1969,"Marcus Welby, M.D. (1969–1976)"
tt0065051,7.5,55.0,"Comedy, Romance, Western",1969,Support Your Local Sheriff! (1969)
tt0064133,6.6,56.0,Comedy,1969,Carry on Camping (1969)
tt0366905,7.0,57.0,"Adventure, Family",1969,Pippi Långstrump (1969)
tt0063991,6.5,58.0,"Biography, Comedy, Drama",1969,Age of Consent (1969)
tt0064030,7.6,59.0,"Biography, Drama, History",1969,Anne of the Thousand Days (1969)
tt0065054,7.0,60.0,"Comedy, Drama, Music",1969,Sweet Charity (1969)
tt0063887,7.4,61.0,"Comedy, Family",1969,The Courtship of Eddie's Father (1969–1972)
tt0064622,6.1,62.0,Comedy,1969,The Magic Christian (1969)
tt0062870,5.3,63.0,"Drama, Horror",1969,Marquis de Sade: Justine (1969)
tt0064866,7.4,64.0,"Action, Drama",1969,Queimada (1969)
tt0064612,8.1,65.0,"Comedy, Drama, Romance",1969,Ma nuit chez Maud (1969)
tt0065566,6.0,66.0,"Comedy, Family, Sci-Fi",1969,The Computer Wore Tennis Shoes (1969)
tt0063970,6.0,67.0,"Adventure, Romance, War",1969,100 Rifles (1969)
tt0064573,7.1,68.0,Drama,1969,Last Summer (1969)
tt0064916,6.8,69.0,Western,1969,Ehi amico... c'è Sabata. Hai chiuso! (1969)
tt0063869,7.6,70.0,Comedy,1969,The Benny Hill Show (1969–1989)
tt0064886,6.8,71.0,"Comedy, Drama",1969,The Reivers (1969)
tt0064409,6.3,72.0,Western,1969,Heaven with a Gun (1969)
tt0064651,6.9,73.0,"Comedy, Drama",1969,"Me, Natalie (1969)"
tt0065063,7.3,74.0,"Comedy, Crime",1969,Take the Money and Run (1969)
tt0063928,7.3,75.0,Drama,1969,Medical Center (1969–1976)
tt0065079,6.4,76.0,"Drama, Western",1969,Tell Them Willie Boy Is Here (1969)
tt0064873,6.9,77.0,Drama,1969,The Rain People (1969)
tt0066065,7.1,78.0,"Drama, Fantasy",1969,Medea (1969)
tt0063955,8.1,79.0,"Adventure, Drama",1969,Then Came Bronson (1969–1970)
tt0064519,6.4,80.0,"Drama, Sci-Fi",1969,Doppelgänger (1969)
tt0065163,6.3,81.0,"Adventure, Sci-Fi, Thriller",1969,The Valley of Gwangi (1969)
tt0064473,6.1,82.0,"Drama, Fantasy, Horror",1969,The Illustrated Man (1969)
tt0064253,6.5,83.0,"Drama, Sport",1969,Downhill Racer (1969)
tt0064695,6.2,84.0,"Romance, Western",1969,More Dead Than Alive (1969)
tt0064382,7.0,85.0,"Drama, Musical, Romance",1969,"Goodbye, Mr. Chips (1969)"
tt0064036,6.3,86.0,"Comedy, Drama, Romance",1969,The April Fools (1969)
tt0063555,7.7,87.0,"Biography, Drama, History",1969,Sayat Nova (1969)
tt0125332,3.8,88.0,"Comedy, Romance, Western",1969,Lady Godiva Rides (1969)
tt0064789,5.9,89.0,Thriller,1969,Paroxismus (1969)
tt0065011,4.9,90.0,Comedy,1969,Some Like It Sexy (1969)
tt0064638,6.4,91.0,"Crime, Drama, Mystery",1969,Marlowe (1969)
tt0064310,5.9,92.0,Horror,1969,Eye of the Cat (1969)
tt0167166,5.8,93.0,Documentary,1969,Freiheit für die Liebe (1969)
tt0064395,5.7,94.0,"Action, Western",1969,Guns of the Magnificent Seven (1969)
