IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0060164,6.3,1,Drama,1966,The Bible: In the Beginning... (1966)
tt0060491,6.5,2,Drama,1966,Hawaii (1966)
tt0060665,7.9,3,"Biography, Drama, History",1966,A Man for All Seasons (1966)
tt0060640,6.0,4,"Adventure, Comedy, Family",1966,"Lt. Robin Crusoe, U.S.N. (1966)"
tt0060921,7.1,5,"Comedy, War",1966,The Russians Are Coming the Russians Are Coming (1966)
tt0060472,7.2,6,"Drama, Sport",1966,Grand Prix (1966)
tt0060862,7.4,7,"Action, Adventure, Western",1966,The Professionals (1966)
tt0060086,7.1,8,"Comedy, Drama",1966,Alfie (1966)
tt0059557,6.5,9,"Action, Adventure, Comedy",1966,Our Man Flint (1966)
tt0060748,7.0,10,Western,1966,Nevada Smith (1966)
tt0061189,5.7,11,"Action, Drama, Thriller",1966,The Wild Angels (1966)
tt0060897,5.5,12,"Action, Western",1966,Return of the Seven (1966)
tt0060196,8.9,13,Western,1966,"Il buono, il brutto, il cattivo (1966)"
tt0061093,6.0,14,"Comedy, Romance",1966,Three on a Couch (1966)
tt0059563,5.6,15,"Musical, Comedy",1966,"Paradise, Hawaiian Style (1966)"
tt0059127,6.8,16,Horror,1966,Dracula: Prince of Darkness (1966)
tt0060675,7.6,17,"Drama, Romance",1966,Masculin féminin (1966)
tt0060647,6.5,18,"Comedy, Crime, Mystery",1966,Made in U.S.A (1966)
tt0058946,8.1,19,"Drama, War",1966,La battaglia di Algeri (1966)
tt0060138,7.9,20,Drama,1966,Au hasard Balthazar (1966)
tt0060315,7.3,21,"Action, Western",1966,Django (1966)
tt0060908,7.6,22,"Drama, Comedy, War",1966,Le roi de coeur (1966)
tt0059803,7.4,23,"Drama, Western",1966,Tiempo de morir (1966)
tt0189461,7.6,24,"Documentary, Short, Music",1966,"David, Moffett, and Ornette: The Ornette Coleman Trio (1966)"
tt0060028,8.3,25,"Action, Adventure, Sci-Fi",1966,Star Trek (1966–1969)
tt0059968,7.5,26,"Action, Adventure, Comedy",1966,Batman (1966–1968)
tt0060009,8.0,27,"Action, Adventure, Crime",1966,Mission: Impossible (1966–1973)
tt0059978,8.0,28,"Drama, Fantasy, Horror",1966,Dark Shadows (1966–1971)
tt0061184,8.1,29,Drama,1966,Who's Afraid of Virginia Woolf? (1966)
tt0060176,7.6,30,"Drama, Mystery, Thriller",1966,Blowup (1966)
tt0060827,8.1,31,"Drama, Thriller",1966,Persona (1966)
tt0060107,8.2,32,"Biography, Drama, History",1966,Andrei Rublev (1966)
tt0060390,7.3,33,"Drama, Sci-Fi",1966,Fahrenheit 451 (1966)
tt0059982,6.9,34,"Comedy, Family",1966,Family Affair (1966–1971)
tt0060934,7.7,35,"Adventure, Drama, Romance",1966,The Sand Pebbles (1966)
tt0060397,6.8,36,"Adventure, Family, Sci-Fi",1966,Fantastic Voyage (1966)
tt0060232,7.3,37,"Crime, Drama, Thriller",1966,The Chase (1966)
tt0060218,6.4,38,"Adventure, Drama, History",1966,Cast a Giant Shadow (1966)
tt0061107,6.7,39,Thriller,1966,Torn Curtain (1966)
tt0060153,6.5,40,"Adventure, Comedy, Crime",1966,Batman: The Movie (1966)
tt0060782,5.7,41,"Adventure, Fantasy",1966,One Million Years B.C. (1966)
tt0061024,6.0,42,"Action, Adventure, Western",1966,Stagecoach (1966)
tt0060010,7.5,43,"Comedy, Music",1966,The Monkees (1966–1968)
tt0060588,6.9,44,"Action, Adventure, Drama",1966,Khartoum (1966)
tt0060033,7.2,45,"Action, Adventure",1966,Tarzan (1966–1968)
tt0060036,7.6,46,"Action, Adventure, Sci-Fi",1966,The Time Tunnel (1966–1967)
tt0060666,1.9,47,Horror,1966,Manos: The Hands of Fate (1966)
tt0060457,3.9,48,"Comedy, Horror, Musical",1966,The Ghost in the Invisible Bikini (1966)
tt0061085,5.8,49,Comedy,1966,That Riviera Touch (1966)
tt0060884,6.4,50,"Drama, Romance, Western",1966,The Rare Breed (1966)
tt0060420,7.2,51,"Drama, Family",1966,"Follow Me, Boys! (1966)"
tt0059991,7.6,52,"Action, Crime, Sci-Fi",1966,The Green Hornet (1966–1967)
tt0060429,5.7,53,"Comedy, Musical, Romance",1966,Frankie and Johnny (1966)
tt0060522,7.6,54,"Comedy, Crime, Romance",1966,How to Steal a Million (1966)
tt0060955,7.7,55,"Sci-Fi, Thriller",1966,Seconds (1966)
tt0060936,5.9,56,Comedy,1966,The Sandwich Man (1966)
tt0060544,5.8,57,Sci-Fi,1966,Invasion (1966)
tt0060980,6.1,58,"Action, Adventure, Comedy",1966,The Silencers (1966)
tt0061089,7.1,59,"Drama, Romance",1966,This Property Is Condemned (1966)
tt0060959,7.4,60,"Comedy, Drama",1966,Sedmikrásky (1966)
tt0060490,7.0,61,"Action, Crime, Drama",1966,Harper (1966)
tt0061138,7.7,62,"Drama, Romance",1966,Un homme et une femme (1966)
tt0060214,6.9,63,"Comedy, Horror",1966,Carry on Screaming! (1966)
tt0059221,7.3,64,"Comedy, Family, Mystery",1966,The Ghost and Mr. Chicken (1966)
tt0060345,8.4,65,"Animation, Comedy, Family",1966,How the Grinch Stole Christmas! (1966 TV Movie)
tt0060121,6.6,66,"Action, Adventure, Crime",1966,Arabesque (1966)
tt0060438,7.0,67,"Comedy, Musical",1966,A Funny Thing Happened on the Way to the Forum (1966)
tt0060018,7.6,68,"Action, Drama, Adventure",1966,The Rat Patrol (1966–1968)
tt0060424,7.4,69,"Comedy, Romance",1966,The Fortune Cookie (1966)
tt0060414,5.8,70,"Comedy, Drama, Romance",1966,A Fine Madness (1966)
tt0060474,8.0,71,"Comedy, War",1966,La grande vadrouille (1966)
tt0060445,7.1,72,"Comedy, Crime, Thriller",1966,Gambit (1966)
tt0060182,7.3,73,"Adventure, Drama, Family",1966,Born Free (1966)
tt0061122,7.5,74,"Comedy, Family",1966,The Trouble with Angels (1966)
tt0063794,7.9,75,"Drama, History, Romance",1966,Voyna i mir (1966)
tt0060268,7.2,76,"Comedy, Drama, Thriller",1966,Cul-de-sac (1966)
tt0060899,6.3,77,Western,1966,Ride Beyond Vengeance (1966)
tt0060814,6.9,78,"Drama, History, War",1966,Paris brûle-t-il? (1966)
tt0060440,6.5,79,"Action, Horror, Sci-Fi",1966,Furankenshutain no kaijû: Sanda tai Gaira (1966)
tt0059977,7.1,80,"Adventure, Family",1966,Daktari (1966–1969)
tt0060453,6.9,81,"Comedy, Drama, Romance",1966,Georgy Girl (1966)
