IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0096895,7.6,1,"Action, Adventure",1989,Batman (1989)
tt0097576,8.3,2,"Action, Adventure, Fantasy",1989,Indiana Jones and the Last Crusade (1989)
tt0097733,7.2,3,"Action, Crime, Thriller",1989,Lethal Weapon 2 (1989)
tt0097778,5.8,4,Comedy,1989,Look Who's Talking (1989)
tt0097523,6.3,5,"Adventure, Comedy, Family",1989,"Honey, I Shrunk the Kids (1989)"
tt0096874,7.8,6,"Adventure, Comedy, Sci-Fi",1989,Back to the Future Part II (1989)
tt0097428,6.5,7,"Action, Comedy, Fantasy",1989,Ghostbusters II (1989)
tt0097757,7.6,8,"Animation, Family, Fantasy",1989,The Little Mermaid (1989)
tt0097239,7.4,9,Drama,1989,Driving Miss Daisy (1989)
tt0098067,7.0,10,"Comedy, Drama",1989,Parenthood (1989)
tt0097165,8.1,11,"Comedy, Drama",1989,Dead Poets Society (1989)
tt0098635,7.6,12,"Comedy, Drama, Romance",1989,When Harry Met Sally... (1989)
tt0098621,6.8,13,Comedy,1989,The War of the Roses (1989)
tt0098384,7.2,14,"Comedy, Drama, Romance",1989,Steel Magnolias (1989)
tt0097958,7.6,15,Comedy,1989,National Lampoon's Christmas Vacation (1989)
tt0098536,6.1,16,"Comedy, Crime, Drama",1989,Turner & Hooch (1989)
tt0096969,7.2,17,"Biography, Drama, War",1989,Born on the Fourth of July (1989)
tt0098554,7.0,18,Comedy,1989,Uncle Buck (1989)
tt0097351,7.5,19,"Drama, Family, Fantasy",1989,Field of Dreams (1989)
tt0098439,6.4,20,"Action, Comedy, Crime",1989,Tango & Cash (1989)
tt0097481,6.0,21,"Comedy, Crime, Drama",1989,Harlem Nights (1989)
tt0098273,6.8,22,"Crime, Drama, Mystery",1989,Sea of Love (1989)
tt0098084,6.6,23,"Horror, Thriller",1989,Pet Sematary (1989)
tt0096754,7.6,24,"Adventure, Drama, Sci-Fi",1989,The Abyss (1989)
tt0098382,5.4,25,"Action, Adventure, Fantasy",1989,Star Trek V: The Final Frontier (1989)
tt0097815,7.2,26,"Comedy, Sport",1989,Major League (1989)
tt0098282,6.8,27,"Comedy, Crime",1989,"See No Evil, Hear No Evil (1989)"
tt0096933,6.6,28,"Action, Crime, Thriller",1989,Black Rain (1989)
tt0096794,6.4,29,"Fantasy, Romance",1989,Always (1989)
tt0097637,6.0,30,"Action, Comedy, Crime",1989,K-9 (1989)
tt0098471,6.1,31,"Action, Comedy",1989,Three Fugitives (1989)
tt0096928,6.9,32,"Adventure, Comedy, Music",1989,Bill & Ted's Excellent Adventure (1989)
tt0097647,5.1,33,"Action, Drama, Family",1989,The Karate Kid Part III (1989)
tt0096734,6.9,34,"Comedy, Mystery, Thriller",1989,The 'Burbs (1989)
tt0097366,6.1,35,"Comedy, Mystery, Crime",1989,Fletch Lives (1989)
tt0097742,6.6,36,"Action, Adventure, Thriller",1989,Licence to Kill (1989)
tt0097722,7.4,37,Drama,1989,Lean on Me (1989)
tt0098627,6.4,38,"Adventure, Comedy, Crime",1989,Weekend at Bernie's (1989)
tt0098206,6.5,39,"Action, Thriller",1989,Road House (1989)
tt0097235,6.5,40,"Comedy, Crime, Thriller",1989,The Dream Team (1989)
tt0097216,7.9,41,"Comedy, Drama",1989,Do the Right Thing (1989)
tt0096787,6.7,42,"Animation, Comedy, Drama",1989,All Dogs Go to Heaven (1989)
tt0097441,7.9,43,"Biography, Drama, History",1989,Glory (1989)
tt0098724,7.2,44,Drama,1989,"Sex, Lies, and Videotape (1989)"
tt0098484,7.0,45,"Documentary, Short, Sport",1989,To the Limit (1989)
tt0097981,5.1,46,"Fantasy, Horror, Romance",1989,A Nightmare on Elm Street: The Dream Child (1989)
tt0097770,6.4,47,"Crime, Drama, Thriller",1989,Lock Up (1989)
tt0097116,6.2,48,"Comedy, Romance",1989,Cousins (1989)
tt0098258,7.4,49,"Comedy, Drama, Romance",1989,Say Anything... (1989)
tt0097579,6.4,50,"Action, Crime, Drama",1989,An Innocent Man (1989)
tt0097368,4.9,51,"Horror, Sci-Fi",1989,The Fly II (1989)
tt0097142,6.2,52,"Drama, Comedy",1989,Dad (1989)
tt0098343,6.1,53,"Comedy, Drama, Romance",1989,Skin Deep (1989)
tt0096943,5.9,54,"Biography, Drama",1989,Blaze (1989)
tt0097500,5.7,55,"Comedy, Crime, Mystery",1989,Her Alibi (1989)
tt0097027,7.1,56,"Crime, Drama, War",1989,Casualties of War (1989)
tt0098115,6.3,57,"Drama, Family, Fantasy",1989,Prancer (1989)
tt0097123,8.0,58,"Comedy, Drama",1989,Crimes and Misdemeanors (1989)
tt0097322,6.8,59,"Drama, Music, Romance",1989,The Fabulous Baker Boys (1989)
tt0098320,5.4,60,"Comedy, Horror, Thriller",1989,Shocker (1989)
tt0097044,6.4,61,"Comedy, Fantasy, Romance",1989,Chances Are (1989)
tt0097987,4.3,62,"Action, Sport",1989,No Holds Barred (1989)
tt0097967,5.7,63,"Action, Crime, Thriller",1989,Next of Kin (1989)
tt0097737,5.8,64,"Adventure, Horror, Mystery",1989,Leviathan (1989)
tt0098309,5.5,65,Comedy,1989,She-Devil (1989)
tt0097937,7.9,66,"Biography, Drama",1989,My Left Foot: The Story of Christy Brown (1989)
tt0097659,6.4,67,"Action, Sport, Thriller",1989,Kickboxer (1989)
tt0097388,4.6,68,"Adventure, Horror, Thriller",1989,Friday the 13th Part VIII: Jason Takes Manhattan (1989)
tt0098663,6.0,69,"Adventure, Comedy, Drama",1989,The Wizard (1989)
tt0097457,6.2,70,"Biography, Drama, Music",1989,Great Balls of Fire! (1989)
tt0097328,5.7,71,"Crime, Drama",1989,Family Business (1989)
tt0098097,5.3,72,"Action, Comedy, Crime",1989,Pink Cadillac (1989)
tt0098308,5.3,73,Comedy,1989,She's Out of Control (1989)
tt0097474,5.2,74,"Horror, Thriller",1989,Halloween 5 (1989)
tt0097458,6.1,75,Drama,1989,Gross Anatomy (1989)
tt0098105,4.2,76,"Comedy, Crime",1989,Police Academy 6: City Under Siege (1989)
tt0100934,4.5,77,"Drama, Romance",1989,Wild Orchid (1989)
tt0098645,5.8,78,"Comedy, Mystery",1989,Who's Harry Crumb? (1989)
tt0097965,6.4,79,"Comedy, Drama, Romance",1989,New York Stories (1989)
tt0098051,6.4,80,"Action, Crime, Drama",1989,The Package (1989)
tt0098625,6.1,81,"Comedy, Crime",1989,We're No Angels (1989)
tt0097138,5.0,82,"Action, Sci-Fi, Thriller",1989,Cyborg (1989)
tt0097499,7.7,83,"Action, Biography, Drama",1989,Henry V (1989)
tt0098442,6.5,84,"Comedy, Drama, Music",1989,Tap (1989)
tt0098622,6.2,85,"Action, Fantasy, Horror",1989,Warlock (1989)
tt0098188,5.3,86,"Action, Crime, Drama",1989,Renegades (1989)
tt0098260,6.5,87,"Drama, History",1989,Scandal (1989)
tt0098524,6.7,88,"Drama, Crime",1989,True Believer (1989)
tt0098519,5.6,89,"Adventure, Comedy",1989,Troop Beverly Hills (1989)
tt0099160,5.6,90,"Action, Crime, Drama",1989,Blue Steel (1989)
tt0097053,6.1,91,"Adventure, Family",1989,Cheetah (1989)
tt0097179,5.2,92,"Action, Horror, Sci-Fi",1989,DeepStar Six (1989)
tt0097166,6.1,93,"Action, Crime, Drama",1989,Dead Bang (1989)
