IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0048280,7.3,1.0,"Animation, Adventure, Comedy",1955,Lady and the Tramp (1955)
tt0047939,7.7,2.0,Documentary,1955,Cinerama Holiday (1955)
tt0048380,7.8,3.0,"Comedy, Drama, War",1955,Mister Roberts (1955)
tt0273622,6.8,4.0,Documentary,1955,Galapagos (1955)
tt0047860,6.6,5.0,"Drama, Romance, War",1955,Battle Cry (1955)
tt0048605,7.2,6.0,"Comedy, Romance",1955,The Seven Year Itch (1955)
tt0048691,6.7,7.0,Western,1955,The Tall Men (1955)
tt0047840,6.7,8.0,"Comedy, Musical, Romance",1955,Artists and Models (1955)
tt0048728,7.5,9.0,"Mystery, Romance, Thriller",1955,To Catch a Thief (1955)
tt0048283,6.7,10.0,"Adventure, Drama, History",1955,Land of the Pharaohs (1955)
tt0048696,6.5,11.0,"Horror, Sci-Fi",1955,Tarantula (1955)
tt0048473,8.4,12.0,Drama,1955,Pather Panchali (1955)
tt0046969,5.3,13.0,"Crime, Drama, Mystery",1955,The Fast and the Furious (1955)
tt0048308,7.4,14.0,"Biography, Drama, Romance",1955,Lola Montès (1955)
tt0048021,8.2,15.0,"Crime, Thriller",1955,Du rififi chez les hommes (1955)
tt0047821,7.3,16.0,"Drama, Romance",1955,Le amiche (1955)
tt0047736,8.0,17.0,Western,1955,Gunsmoke (1955–1975)
tt0047708,8.6,18.0,"Crime, Drama, Mystery",1955,Alfred Hitchcock Presents (1955–1962)
tt0048554,5.6,19.0,"Horror, Sci-Fi",1955,Revenge of the Creature (1955)
tt0048260,6.4,20.0,"Adventure, Musical, Fantasy",1955,Kismet (1955)
tt0048545,7.8,21.0,Drama,1955,Rebel Without a Cause (1955)
tt0278213,8.1,22.0,"Comedy, Family",1955,The Little Rascals (1955– )
tt0046911,8.1,23.0,"Crime, Drama, Horror",1955,Les diaboliques (1955)
tt0048028,8.0,24.0,Drama,1955,East of Eden (1955)
tt0048445,7.2,25.0,"Comedy, Drama, Musical",1955,Oklahoma! (1955)
tt0042114,8.7,26.0,"Comedy, Family",1955,The Honeymooners (1955–1956)
tt0048424,8.0,27.0,"Crime, Drama, Film-Noir",1955,The Night of the Hunter (1955)
tt0048750,7.1,28.0,"Comedy, Mystery",1955,The Trouble with Harry (1955)
tt0048140,7.2,29.0,"Comedy, Crime, Musical",1955,Guys and Dolls (1955)
tt0046998,7.5,30.0,"Comedy, Drama, Musical",1955,French Cancan (1955)
tt0049615,3.4,31.0,"Horror, Sci-Fi",1955,"The Phantom from 10,000 Leagues (1955)"
tt0048527,6.6,32.0,"Drama, Romance",1955,Queen Bee (1955)
tt0047577,5.9,33.0,"Horror, Mystery, Sci-Fi",1955,This Island Earth (1955)
tt0048261,7.7,34.0,"Crime, Film-Noir, Mystery",1955,Kiss Me Deadly (1955)
tt0048356,7.7,35.0,"Drama, Romance",1955,Marty (1955)
tt0047720,8.1,36.0,Western,1955,Cheyenne (1955–1963)
tt0048281,7.8,37.0,"Comedy, Crime",1955,The Ladykillers (1955)
tt0047757,7.8,38.0,"Family, Comedy, Drama",1955,The Mickey Mouse Club (1955–1958)
tt0048806,6.9,39.0,"Romance, Western",1955,Wichita (1955)
tt0047849,7.8,40.0,"Crime, Drama, Mystery",1955,Bad Day at Black Rock (1955)
tt0049096,7.9,41.0,"Adventure, Comedy, Family",1955,The Court Jester (1955)
tt0048112,7.1,42.0,"Comedy, Drama, Romance",1955,Geordie (1955)
tt0047749,7.1,43.0,"Family, Music",1955,The Dodge Dancing Party (1955–1982)
tt0048254,6.7,44.0,"Crime, Drama, Film-Noir",1955,Killer's Kiss (1955)
tt0047811,7.7,45.0,"Drama, Romance",1955,All That Heaven Allows (1955)
tt0046889,7.4,46.0,"Drama, History, War",1955,The Dam Busters (1955)
tt0048624,7.1,47.0,"Comedy, Drama, History",1955,Sissi (1955)
tt0048291,6.5,48.0,Drama,1955,The Left Hand of God (1955)
tt0048124,6.5,49.0,"Musical, Romance",1955,The Glass Slipper (1955)
tt0047977,7.1,50.0,"Family, Western, Adventure",1955,Davy Crockett: King of the Wild Frontier (1955)
tt0048342,7.4,51.0,Western,1955,The Man from Laramie (1955)
tt0047216,7.2,52.0,"Comedy, Drama",1955,Marcelino pan y vino (1955)
tt0047885,7.4,53.0,"Crime, Drama",1955,Blackboard Jungle (1955)
tt0047985,7.6,54.0,"Crime, Drama, Film-Noir",1955,The Desperate Hours (1955)
tt0047718,8.1,55.0,Family,1955,Captain Kangaroo (1955–1992)
tt0048673,7.4,56.0,"Romance, Drama",1955,Summertime (1955)
tt0047750,7.7,57.0,Western,1955,The Life and Legend of Wyatt Earp (1955–1961)
tt0048690,6.4,58.0,Western,1955,Tall Man Riding (1955)
tt0048078,4.6,59.0,Western,1955,Five Guns West (1955)
tt0048347,7.5,60.0,"Crime, Drama, Film-Noir",1955,The Man with the Golden Arm (1955)
tt0047969,6.7,61.0,"Musical, Romance",1955,Daddy Long Legs (1955)
tt0047763,8.5,62.0,"Comedy, Family",1955,The Phil Silvers Show (1955–1959)
tt0048452,8.2,63.0,"Drama, Fantasy",1955,Ordet (1955)
tt0048640,6.3,64.0,"Adventure, Crime, Drama",1955,Soldier of Fortune (1955)
tt0048204,6.4,65.0,Western,1955,The Indian Fighter (1955)
tt0048729,7.4,66.0,"Action, Biography, Drama",1955,To Hell and Back (1955)
tt0048316,6.6,67.0,"Biography, Drama, Romance",1955,Love Is a Many-Splendored Thing (1955)
tt0048801,7.5,68.0,"Comedy, Crime, Romance",1955,We're No Angels (1955)
tt0047898,4.1,69.0,"Horror, Sci-Fi",1955,Bride of the Monster (1955)
tt0048703,6.0,70.0,"Romance, Western",1955,Ten Wanted Men (1955)
tt0211663,5.9,71.0,"Crime, Drama",1955,They Can't Hang Me (1955)
tt0047878,7.4,72.0,"Crime, Drama, Film-Noir",1955,The Big Combo (1955)
tt0048248,6.3,73.0,"Drama, Western",1955,The Kentuckian (1955)
tt0048641,7.9,74.0,"Comedy, Romance",1955,Sommarnattens leende (1955)
tt0047758,8.1,75.0,Drama,1955,The Millionaire (1955–1960)
tt0048191,7.4,76.0,"Biography, Drama, Music",1955,I'll Cry Tomorrow (1955)
tt0049674,7.5,77.0,"Biography, Drama, History",1955,Richard III (1955)
tt0047728,6.6,78.0,"Crime, Drama",1955,Dixon of Dock Green (1955–1976)
